family,sdg,n_research_papers,n_policy_chunks,n_policy_chunks_capped,n_policy_docs,n_policy_docs_capped,chunk_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,17563,2886,2231,359,359,50,0.675123,0.324877,0.629808,False
full_policy_corpus,2,86745,2155,2049,352,352,50,0.667222,0.332778,0.630222,False
full_policy_corpus,3,454371,3852,3493,395,395,50,0.560184,0.439816,0.569055,False
full_policy_corpus,4,352005,2941,2941,358,358,50,0.713626,0.286374,0.611507,False
full_policy_corpus,5,58242,3176,3112,498,498,50,0.750385,0.249615,0.624769,False
full_policy_corpus,6,102589,2014,1965,306,306,50,0.487075,0.512925,0.666449,False
full_policy_corpus,7,212882,2585,2360,370,370,50,0.504385,0.495615,0.64621,False
full_policy_corpus,8,37550,2564,2361,313,313,50,0.706019,0.293981,0.581595,False
full_policy_corpus,9,260631,4485,3553,405,405,50,0.764769,0.235231,0.565354,False
full_policy_corpus,10,23872,901,686,188,188,50,0.486992,0.513008,0.570027,False
full_policy_corpus,11,138646,2871,2807,302,302,50,0.54315,0.45685,0.56647,False
full_policy_corpus,12,94787,2395,2007,291,291,50,0.568062,0.431938,0.620978,False
full_policy_corpus,13,133076,5160,4702,1556,1556,50,0.462324,0.537676,0.655562,False
full_policy_corpus,14,98797,2078,1696,351,351,50,0.510037,0.489963,0.653519,False
full_policy_corpus,15,188842,2470,2228,376,376,50,0.536193,0.463807,0.629,False
full_policy_corpus,16,213730,3809,3515,1215,1215,50,0.658712,0.341288,0.543606,False
full_policy_corpus,17,69370,7740,6280,1650,1650,50,0.345521,0.654479,0.592218,False
curated_ai_sdg,1,17563,1057,402,26,26,50,0.644885,0.355115,0.611925,False
curated_ai_sdg,2,86745,376,270,38,38,50,0.610305,0.389695,0.614134,False
curated_ai_sdg,3,454371,1093,734,58,58,50,0.669559,0.330441,0.550596,False
curated_ai_sdg,4,352005,356,356,49,49,50,0.719383,0.280617,0.574721,False
curated_ai_sdg,5,58242,396,332,38,38,50,0.754124,0.245876,0.585945,False
curated_ai_sdg,6,102589,234,185,31,31,50,0.451993,0.548007,0.681335,False
curated_ai_sdg,7,212882,631,406,41,41,50,0.480327,0.519673,0.633603,False
curated_ai_sdg,8,37550,629,426,44,44,50,0.688704,0.311296,0.588018,False
curated_ai_sdg,9,260631,2816,1884,90,90,50,0.797548,0.202452,0.614556,False
curated_ai_sdg,10,23872,495,280,28,28,50,0.509705,0.490295,0.563045,False
curated_ai_sdg,11,138646,290,272,37,37,50,0.550352,0.449648,0.599275,False
curated_ai_sdg,12,94787,675,287,36,36,50,0.523164,0.476836,0.567598,False
curated_ai_sdg,13,133076,1264,806,57,57,50,0.516893,0.483107,0.613826,False
curated_ai_sdg,14,98797,625,243,28,28,50,0.53656,0.46344,0.658612,False
curated_ai_sdg,15,188842,591,349,36,36,50,0.494686,0.505314,0.655096,False
curated_ai_sdg,16,213730,1067,773,77,77,50,0.713134,0.286866,0.560077,False
curated_ai_sdg,17,69370,3044,1585,91,91,50,0.378636,0.621364,0.589362,False
sdgi_vnr_vlr,1,17563,1727,1727,239,239,50,0.672127,0.327873,0.648995,False
sdgi_vnr_vlr,2,86745,1686,1686,227,227,50,0.670234,0.329766,0.643634,False
sdgi_vnr_vlr,3,454371,2688,2688,270,270,50,0.519522,0.480478,0.588762,False
sdgi_vnr_vlr,4,352005,2527,2527,254,254,50,0.702453,0.297547,0.626915,False
sdgi_vnr_vlr,5,58242,2568,2568,262,262,50,0.742741,0.257259,0.635968,False
sdgi_vnr_vlr,6,102589,1745,1745,243,243,50,0.488426,0.511574,0.670826,False
sdgi_vnr_vlr,7,212882,1867,1867,246,246,50,0.507054,0.492946,0.658658,False
sdgi_vnr_vlr,8,37550,1918,1918,252,252,50,0.699343,0.300657,0.590202,False
sdgi_vnr_vlr,9,260631,1603,1603,252,252,50,0.628157,0.371843,0.582485,False
sdgi_vnr_vlr,10,23872,393,393,148,148,50,0.435922,0.564078,0.624315,False
sdgi_vnr_vlr,11,138646,2573,2527,257,257,50,0.53444,0.46556,0.571797,False
sdgi_vnr_vlr,12,94787,1706,1706,241,241,50,0.562966,0.437034,0.644731,False
sdgi_vnr_vlr,13,133076,1822,1822,259,259,50,0.47444,0.52556,0.662304,False
sdgi_vnr_vlr,14,98797,1282,1282,183,183,50,0.502938,0.497062,0.662394,False
sdgi_vnr_vlr,15,188842,1768,1768,240,240,50,0.540769,0.459231,0.634881,False
sdgi_vnr_vlr,16,213730,1515,1515,220,220,50,0.602237,0.397763,0.591004,False
sdgi_vnr_vlr,17,69370,2583,2582,274,274,50,0.330516,0.669484,0.599182,False
ungdc_speeches,1,17563,102,102,94,94,50,0.519802,0.480198,0.691218,False
ungdc_speeches,2,86745,93,93,87,87,50,0.508025,0.491975,0.700268,False
ungdc_speeches,3,454371,71,71,67,67,50,0.412518,0.587482,0.706648,False
ungdc_speeches,4,352005,58,58,55,55,50,0.55244,0.44756,0.730078,False
ungdc_speeches,5,58242,212,212,198,198,50,0.648472,0.351528,0.721846,False
ungdc_speeches,6,102589,35,35,32,32,50,0.369128,0.630872,0.707376,False
ungdc_speeches,7,212882,87,87,83,83,50,0.363454,0.636546,0.699637,False
ungdc_speeches,8,37550,17,17,17,17,50,0.489846,0.510154,0.63492,False
ungdc_speeches,9,260631,66,66,63,63,50,0.616314,0.383686,0.64527,False
ungdc_speeches,10,23872,13,13,12,12,50,0.339899,0.660101,0.706163,False
ungdc_speeches,11,138646,8,8,8,8,50,0.315328,0.684672,0.714126,True
