SDG,Description,Semantic gaps,,,Coverage predictors,,,
,,Raw,Adj.,Reg.,Cov.,SDom,Res %,Pol %
1,No Poverty,0.415,0.191,+0.224,4.1,-4.1,0.4,4.5
2,Zero Hunger,0.299,0.089,+0.210,1.9,-1.9,2.4,4.3
3,Good Health,0.494,0.319,+0.176,21.0,+21.0,25.7,4.7
4,Education,0.267,0.158,+0.109,10.8,+10.8,15.6,4.8
5,Gender Equality,0.278,0.151,+0.126,3.1,-3.1,2.0,5.1
6,Clean Water,0.292,0.130,+0.162,2.7,-2.7,1.0,3.7
7,Clean Energy,0.428,0.170,+0.257,0.2,-0.2,4.1,4.3
8,Decent Work,0.387,0.184,+0.203,2.1,-2.1,2.2,4.3
9,Innovation,0.314,0.228,+0.086,15.8,+15.8,20.1,4.3
10,Reduced Ineq.,0.271,0.195,+0.076,2.0,-2.0,0.9,2.9
11,Sust. Cities,0.449,0.209,+0.239,0.2,-0.2,5.1,5.3
12,Consumption,0.296,0.156,+0.139,2.1,-2.1,1.5,3.5
13,Climate,0.480,0.219,+0.261,7.6,-7.6,3.7,11.3
14,Life Below Water,0.358,0.132,+0.227,2.2,-2.2,1.6,3.8
15,Life on Land,0.239,0.084,+0.155,2.0,-2.0,2.2,4.2
16,Peace & Justice,0.329,0.242,+0.087,6.1,-6.1,11.2,17.3
17,Partnerships,0.177,0.326,-0.149,11.4,-11.4,0.3,11.7
Mean,---,0.340,0.187,+0.152,5.6,+0.0,5.9,5.9
