,Raw Gap,Adj. Gap,Reg. Comp.
H1a. Coverage gap Semantic gap,,,
MPNet LR,-0.012,+0.544^*,-0.390
MPNet MLP,-0.135,+0.336,-0.370
MPNet ZS,-0.299,+0.203,-0.449^
MiniLM LR,-0.243,+0.397,-0.463^
MiniLM MLP,-0.042,+0.505^*,-0.272
SciBERT LR,-0.130,+0.221,-0.267
SciBERT MLP,-0.333,-0.034,-0.120
Concept LR,+0.108,+0.434^,-0.194
Concept MLP,-0.017,+0.181,-0.140
H1b. Research--policy dominance Semantic gap,,,
MPNet LR,+0.159,-0.059,+0.029
MPNet MLP,+0.020,-0.118,-0.034
MPNet ZS,-0.005,-0.336,+0.360
MiniLM LR,+0.404,-0.020,+0.429^
MiniLM MLP,+0.319,-0.066,+0.348
SciBERT LR,+0.549^*,-0.118,+0.547^*
SciBERT MLP,+0.336,-0.429^,+0.529^*
Concept LR,+0.051,-0.029,-0.260
Concept MLP,-0.174,+0.093,-0.199
H1c. Research coverage Semantic gap,,,
MPNet LR,+0.449^,+0.267,+0.145
MPNet MLP,+0.262,+0.098,+0.088
MPNet ZS,-0.100,-0.328,+0.314
MiniLM LR,+0.444^,+0.262,+0.331
MiniLM MLP,+0.373,+0.275,+0.279
SciBERT LR,+0.605^*,+0.466^,+0.020
SciBERT MLP,-0.005,-0.196,+0.225
Concept LR,+0.221,+0.017,-0.076
Concept MLP,-0.098,-0.010,-0.127
H1d. Policy coverage Semantic gap,,,
MPNet LR,+0.212,+0.589^*,-0.009
MPNet MLP,+0.175,+0.428^,-0.007
MPNet ZS,-0.094,+0.240,-0.321
MiniLM LR,-0.015,+0.449^,-0.159
MiniLM MLP,+0.083,+0.456^,-0.093
SciBERT LR,-0.100,+0.605^*,-0.686^**
SciBERT MLP,-0.172,+0.395,-0.395
Concept LR,+0.369,+0.510^*,+0.178
Concept MLP,+0.256,+0.258,+0.082
