SDG,Canonical,SWD,Chamfer,Hausdorff,Gauss. W_2,Grassmann,linear MMD
1,0.191,0.009,0.509,0.600,0.684,3.727,0.067
2,0.089,0.008,0.388,0.454,0.618,3.629,0.057
3,0.319,0.011,0.454,0.581,0.717,3.717,0.129
4,0.158,0.010,0.399,0.487,0.607,3.307,0.096
5,0.151,0.010,0.429,0.529,0.646,3.514,0.095
6,0.130,0.009,0.417,0.475,0.639,3.598,0.080
7,0.170,0.010,0.427,0.522,0.687,3.729,0.105
8,0.184,0.008,0.474,0.564,0.658,3.566,0.065
9,0.228,0.010,0.430,0.556,0.671,3.444,0.104
10,0.195,0.008,0.456,0.517,0.617,3.343,0.062
11,0.209,0.009,0.446,0.542,0.677,3.484,0.091
12,0.156,0.009,0.467,0.566,0.677,3.462,0.094
13,0.219,0.010,0.417,0.498,0.667,3.667,0.117
14,0.132,0.010,0.415,0.510,0.675,3.753,0.098
15,0.084,0.008,0.394,0.464,0.578,3.421,0.056
16,0.242,0.010,0.417,0.520,0.640,3.333,0.103
17,0.326,0.009,0.461,0.490,0.595,2.993,0.104
ρ vs. canonical,--,0.525,0.485,0.444,0.243,-0.243,0.620
