,H1a,H1b,H1c,H1d
,Cov. gap,Dominance,Research cov.\,Policy cov.\
Sliced Wasserstein,+0.554^*,+0.061,+0.539^*,+0.397
Linear MMD,+0.603^*,+0.022,+0.466^,+0.439^
Energy distance,+0.537^*,+0.074,+0.532^*,+0.384
Squared RBF MMD,+0.473^,+0.113,+0.551^*,+0.296
Exact EMD,+0.304,+0.147,+0.167,+0.217
Chamfer,+0.103,-0.115,-0.350,-0.006
Modified Hausdorff,+0.159,+0.152,+0.127,+0.066
Gaussian-2-Wasserstein,-0.007,+0.240,+0.262,-0.042
Sinkhorn,-0.199,+0.397,-0.176,-0.505^*
C2ST AUC,+0.270,+0.275,+0.375,-0.139
Grassmann,-0.186,+0.034,+0.012,-0.228
