SDG,Canonical,EMD,Sinkhorn,Energy,MMD^2,C2ST AUC,Centroid (samp.)
1,0.191,0.645,0.623,0.056,0.025,0.969,0.186
2,0.089,0.533,0.516,0.054,0.026,0.979,0.088
3,0.319,0.665,0.597,0.105,0.046,0.985,0.315
4,0.158,0.554,0.523,0.084,0.040,0.988,0.157
5,0.151,0.581,0.543,0.082,0.038,0.984,0.152
6,0.130,0.546,0.547,0.073,0.036,0.986,0.128
7,0.170,0.581,0.545,0.094,0.045,0.990,0.170
8,0.184,0.620,0.596,0.054,0.024,0.978,0.185
9,0.228,0.625,0.560,0.090,0.040,0.984,0.228
10,0.195,0.602,0.636,0.051,0.023,0.964,0.191
11,0.209,0.606,0.580,0.076,0.035,0.977,0.213
12,0.156,0.605,0.605,0.081,0.037,0.987,0.154
13,0.219,0.577,0.485,0.102,0.048,0.983,0.217
14,0.132,0.555,0.538,0.091,0.044,0.984,0.134
15,0.084,0.515,0.515,0.053,0.026,0.982,0.083
16,0.242,0.604,0.495,0.088,0.039,0.983,0.241
17,0.326,0.582,0.499,0.083,0.037,0.980,0.319
ρ vs. canonical,--,0.694,0.047,0.444,0.260,-0.164,1.000
