Rank,Config,CV macro-F1
1,"MLP 3L/256h, lr=0.0003 (best)",0.8192 ± 0.0032
2,"MLP 2L/256h, lr=0.0003",0.8184 ± 0.0030
3,"MLP 6L/384h, lr=0.0003",0.8183 ± 0.0023
4,"MLP 2L/384h, lr=0.0003",0.8183 ± 0.0022
5,"MLP 4L/256h, lr=0.001",0.8181 ± 0.0017
6,"MLP 2L/256h, lr=0.001",0.8180 ± 0.0038
7,"MLP 3L/384h, lr=0.0003",0.8176 ± 0.0015
8,"MLP 4L/384h, lr=0.0003",0.8175 ± 0.0017
9,"MLP 4L/256h, lr=0.0003",0.8169 ± 0.0024
10,"MLP 6L/256h, lr=0.0003",0.8168 ± 0.0026
11,"MLP 3L/256h, lr=0.001",0.8165 ± 0.0030
12,"MLP 2L/384h, lr=0.001",0.8162 ± 0.0053
13,"MLP 6L/384h, lr=0.001",0.8156 ± 0.0039
14,"MLP 6L/256h, lr=0.001",0.8153 ± 0.0027
15,"MLP 4L/384h, lr=0.001",0.8151 ± 0.0024
16,"MLP 3L/384h, lr=0.001",0.8151 ± 0.0015
17,"LR C=3.0, cw=None (chosen)",0.8101 ± 0.0020
18,"LR C=2.0, cw=None",0.8098 ± 0.0018
19,"LR C=5.0, cw=None",0.8097 ± 0.0017
20,"LR C=1.0, cw=None",0.8087 ± 0.0025
21,"LR C=3.0, cw=balanced",0.8079 ± 0.0014
22,"LR C=2.0, cw=balanced",0.8077 ± 0.0016
23,"LR C=10.0, cw=None",0.8075 ± 0.0020
24,"LR C=5.0, cw=balanced",0.8073 ± 0.0017
25,"LR C=1.0, cw=balanced",0.8069 ± 0.0026
26,"LR C=10.0, cw=balanced",0.8063 ± 0.0013
27,"LR C=30.0, cw=None",0.8039 ± 0.0023
28,"LR C=30.0, cw=balanced",0.8022 ± 0.0016
29,"LR C=100.0, cw=None",0.7967 ± 0.0010
30,"LR C=100.0, cw=balanced",0.7942 ± 0.0017
31,"LR C=0.1, cw=balanced",0.7919 ± 0.0032
32,"LR C=0.1, cw=None",0.7904 ± 0.0032
