Sample Size,Coverage gap (vs policy),Semantic gap (raw),Semantic gap (adjusted)
"1,000",0.056 ± 0.002,0.417 ± 0.020,0.284 ± 0.015
"2,000",0.056 ± 0.001,0.384 ± 0.015,0.245 ± 0.010
"5,000",0.056 ± 0.001,0.358 ± 0.009,0.213 ± 0.007
"10,000",0.056 ± 0.001,0.350 ± 0.006,0.201 ± 0.004
"20,000",0.056 ± 0.000,0.344 ± 0.005,0.194 ± 0.003
"50,000",0.056 ± 0.000,0.342 ± 0.003,0.189 ± 0.002
"100,000",0.056 ± 0.000,0.341 ± 0.003,0.188 ± 0.002
"200,000",0.056 ± 0.000,0.340 ± 0.002,0.187 ± 0.001
"500,000",0.056 ± 0.000,0.340 ± 0.001,0.187 ± 0.001
"1,000,000",0.056 ± 0.000,0.340 ± 0.001,0.187 ± 0.000
"2,000,000",0.056 ± 0.000,0.340 ± 0.000,0.186 ± 0.000
Full corpus,0.056,0.340,0.187
