SDG,,Policy source,,,,Segment cap,,Retrieval,
,Canon,Curated,SDGi,UNGDC,Full,20,None,LR,MLP
1,5,2,5,5,5,5,5,1,1
2,10,10,11,11,10,10,9,11,10
3,1,8,1,1,1,1,2,3,7
4,15,15,13,16,15,15,14,13,17
5,13,13,14,13,13,13,13,6,5
6,12,9,12,12,12,12,12,15,15
7,4,1,6,2,4,4,4,8,11
8,6,5,7,6,6,6,6,4,2
9,9,14,2,10,9,8,8,12,13
10,14,11,15,15,14,14,15,10,8
11,3,4,3,4,3,3,3,2,3
12,11,6,10,8,11,11,11,14,12
13,2,3,4,3,2,2,1,5,4
14,7,7,9,9,7,7,7,9,6
15,16,12,16,14,16,16,16,16,16
16,8,16,8,7,8,9,10,7,9
17,17,17,17,17,17,17,17,17,14
Rank Corr (ρ),1.000,0.733,0.914,0.966,1.000,0.998,0.988,0.814,0.679
