SDG,Encoder (embedding architecture),,,,,,
,MPNet (768-d),,,MiniLM (384-d),,SciBERT (768-d),
,LR,MLP,ZS,LR,MLP,LR,MLP
1,5,8,7,17,17,16,1
2,10,11,10,14,14,14,14
3,1,4,4,2,2,1,3
4,15,15,15,15,15,10,12
5,13,9,16,4,8,11,15
6,12,14,5,13,16,6,8
7,4,7,1,5,4,4,4
8,6,3,14,10,12,15,11
9,9,12,17,8,6,7,13
10,14,13,12,3,3,5,7
11,3,2,2,6,7,3,2
12,11,5,9,7,5,13,5
13,2,1,6,1,1,2,6
14,7,6,3,11,10,8,9
15,16,17,11,9,13,9,10
16,8,10,13,12,11,12,16
17,17,16,8,16,9,17,17
Rank Corr (ρ),1.00,0.86,0.53,0.40,0.37,0.46,0.62
