SDG,Coverage gap (%),,,,,,,
,MPNet,,,MiniLM,,SciBERT,,Concept
,LR,MLP,ZS,LR,MLP,LR,MLP,
1,4.1,4.5,3.8,4.1,4.1,5.1,5.6,3.9
2,1.9,1.5,0.7,2.1,2.3,2.6,2.9,2.5
3,21.0,16.8,17.2,22.0,22.4,22.3,23.2,21.0
4,10.8,8.9,11.7,8.9,8.8,12.8,12.3,3.5
5,3.1,2.2,2.6,1.7,2.4,3.9,3.4,3.3
6,2.7,2.6,1.1,2.3,2.3,2.5,2.4,2.9
7,0.2,0.4,4.0,1.0,0.8,0.6,0.1,0.4
8,2.1,1.1,1.9,2.3,2.5,3.7,2.4,2.0
9,15.8,15.0,9.4,12.5,15.1,17.6,11.6,21.6
10,2.0,2.2,1.3,1.1,1.6,1.6,1.5,2.1
11,0.2,0.5,0.3,1.6,1.6,1.8,1.6,2.7
12,2.1,1.1,1.0,1.6,1.6,2.5,1.0,0.9
13,7.6,5.7,8.5,5.1,5.9,5.9,8.6,7.1
14,2.2,1.9,0.2,2.2,2.2,2.8,2.4,2.5
15,2.0,1.9,0.1,0.1,1.0,1.3,0.4,2.1
16,6.1,3.9,1.7,11.2,11.1,9.1,4.8,8.5
17,11.4,12.1,20.2,8.9,8.5,9.1,13.2,11.5
