,Research (segments),,,Policy (segments),,Semantic-gap rank,,
SDG,n_LR,Agree %,Res MLP %,n_LR,Agree %,LR,ZS,||
1 (No Poverty),"13,459",30.9,14.9,"1,700",70.8,5,7,2
2 (Zero Hunger),"78,591",77.6,59.8,"1,723",94.1,10,10,0
3 (Good Health),"859,355",75.0,79.8,"2,934",87.7,1,4,3
4 (Education),"470,002",82.4,82.6,"2,055",91.3,15,15,0
5 (Gender Equality),"64,940",56.3,37.0,"2,026",88.5,13,16,3
6 (Clean Water),"35,137",85.3,75.2,"1,206",94.6,12,5,7
7 (Clean Energy),"119,467",88.3,81.9,"1,808",84.1,4,1,3
8 (Decent Work),"65,500",44.4,20.7,"2,016",71.3,6,14,8
9 (Innovation),"577,833",50.8,45.1,"4,066",81.0,9,17,8
10 (Reduced Ineq.),"30,323",23.6,12.8,"1,123",56.9,14,12,2
11 (Sust. Cities),"146,508",77.2,64.0,"1,658",88.3,3,2,1
12 (Consumption),"46,199",60.9,38.5,"1,187",91.8,11,9,2
13 (Climate),"121,557",40.5,28.4,"3,399",84.5,2,6,4
14 (Life Below Water),"51,458",89.6,69.7,"1,634",92.3,7,3,4
15 (Life on Land),"78,102",83.5,70.3,"1,828",84.1,16,11,5
16 (Peace & Justice),"337,317",55.6,46.1,"5,725",65.0,8,13,5
17 (Partnerships),"9,396",26.1,11.7,"4,509",84.1,17,8,9
Overall,"3,105,144",67.3,59.5,"40,597",81.5,,,
