,Raw gap,Adj. gap,Register
H1a. Coverage gap Semantic gap,,,
MPNet LR,+0.102,+0.694^**,-0.382
MPNet MLP,-0.069,+0.441^,-0.404
MPNet ZS,-0.171,+0.230,-0.333
MiniLM LR,+0.068,+0.474^,-0.226
MiniLM MLP,+0.333,+0.611^**,-0.093
SciBERT LR,+0.129,+0.152,-0.080
SciBERT MLP,-0.108,-0.189,+0.138
Concept LR,+0.030,+0.445^,-0.357
Concept MLP,-0.092,+0.196,-0.310
H1b. Policy--research dominance Semantic gap,,,
MPNet LR,+0.274,+0.196,+0.115
MPNet MLP,+0.050,+0.090,-0.014
MPNet ZS,-0.152,-0.227,+0.033
MiniLM LR,+0.293,+0.119,+0.240
MiniLM MLP,+0.353,+0.150,+0.260
SciBERT LR,+0.460^,-0.156,+0.420^
SciBERT MLP,+0.194,-0.358,+0.484^*
Concept LR,+0.117,+0.120,+0.021
Concept MLP,-0.060,+0.046,-0.119
H1c. Research coverage Semantic gap,,,
MPNet LR,+0.288,+0.464^,-0.055
MPNet MLP,+0.032,+0.308,-0.197
MPNet ZS,-0.191,-0.117,-0.087
MiniLM LR,+0.302,+0.355,+0.101
MiniLM MLP,+0.429^,+0.438^,+0.132
SciBERT LR,+0.419^,+0.208,+0.029
SciBERT MLP,+0.029,-0.234,+0.262
Concept LR,+0.134,+0.262,-0.085
Concept MLP,-0.074,+0.113,-0.205
H1d. Policy coverage Semantic gap,,,
MPNet LR,-0.018,+0.501^*,-0.359
MPNet MLP,-0.045,+0.418^,-0.361
MPNet ZS,-0.052,+0.258,-0.244
MiniLM LR,-0.041,+0.381,-0.284
MiniLM MLP,+0.064,+0.466^*,-0.269
SciBERT LR,-0.138,+0.728^**,-0.813^***
SciBERT MLP,-0.344,+0.287,-0.492^*
Concept LR,+0.009,+0.269,-0.225
Concept MLP,-0.017,+0.130,-0.154
