SDG,Full Corpus,,Curated AI/SDG,,SDGi VNR/VLR,,UNGDC,
,pol.% (n),sem. (n),pol.% (n),sem. (n),pol.% (n),sem. (n),pol.% (n),sem. (n)
1,4.5 (288),"0.42 (1,689)",1.1 (1),0.44 (357),5.9 (250),"0.42 (1,191)",1.8 (37),0.56 (141)
2,4.3 (274),"0.30 (1,508)",0.0 (0),0.35 (240),5.8 (246),"0.29 (1,196)",1.4 (28),0.45 (72)
3,4.7 (298),"0.49 (2,408)",6.4 (6),0.36 (643),6.7 (284),"0.55 (1,707)",0.4 (8),0.70 (58)
4,4.8 (305),"0.27 (2,055)",0.0 (0),0.21 (274),7.0 (296),"0.29 (1,718)",0.4 (9),0.40 (63)
5,5.1 (324),"0.28 (2,005)",0.0 (0),0.28 (272),6.6 (278),"0.28 (1,531)",2.2 (46),0.41 (202)
6,3.7 (238),"0.29 (1,206)",0.0 (0),0.35 (137),5.3 (226),"0.29 (1,038)",0.6 (12),0.42 (31)
7,4.3 (273),"0.43 (1,578)",1.1 (1),0.51 (358),6.0 (253),"0.41 (1,147)",0.9 (19),0.59 (73)
8,4.3 (276),"0.39 (1,886)",0.0 (0),0.40 (309),6.5 (275),"0.40 (1,558)",0.0 (1),0.54 (19)
9,4.3 (274),"0.31 (2,986)",50.0 (47),"0.27 (1,838)",5.1 (215),"0.54 (1,116)",0.6 (12),0.46 (32)
10,2.9 (182),"0.27 (1,085)",0.0 (0),0.33 (258),4.2 (176),0.28 (774),0.3 (6),0.40 (53)
11,5.3 (338),"0.45 (1,658)",0.0 (0),0.43 (175),8.0 (336),"0.46 (1,474)",0.1 (2),0.57 (9)
12,3.5 (226),"0.30 (1,132)",0.0 (0),0.38 (178),5.3 (225),0.30 (947),0.0 (1),0.49 (7)
13,11.3 (718),"0.48 (3,084)",7.4 (7),0.44 (613),6.0 (252),"0.44 (1,268)",22.4 (459),"0.58 (1,203)"
14,3.8 (241),"0.36 (1,293)",0.0 (0),0.37 (216),4.5 (189),0.35 (856),2.5 (52),0.49 (221)
15,4.2 (266),"0.24 (1,484)",0.0 (0),0.29 (299),5.7 (239),"0.24 (1,108)",1.3 (27),0.41 (77)
16,"17.3 (1,100)","0.33 (4,890)",12.8 (12),"0.20 (1,092)",5.9 (250),"0.38 (1,395)",40.9 (838),"0.51 (2,403)"
17,11.7 (746),"0.18 (3,645)",21.3 (20),0.18 (859),5.6 (235),"0.16 (1,322)",24.0 (491),"0.26 (1,464)"
ρ,1.00,1.00,0.36,0.73,0.61,0.91,0.45,0.97
