Core,Robustness,Interactions,Functional form,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23)
,Adj. gap ~ covgap,Adj. gap ~ dominance,Raw gap ~ covgap,Raw gap ~ dominance,Reg. gap ~ covgap,Reg. gap ~ dominance,Adj. gap ~ rescov,Raw gap ~ rescov,Reg. gap ~ rescov,No classifier ind.,+ SDG FE,Supervised only,Keyword only,MPNet only,No clf + SDG FE,+ covgap×enc,+ covgap×ret,+ covgap×mth,+ all interactions,Raw DV (not ranked),Log DV,WLS,Rank + bootstrap
Coverage gap (|research% - policy%|),+0.2^,--,+0.1,--,-0.0,--,--,--,--,+0.2^,-0.0,+0.2^*,+0.2,+0.3^**,-0.0,+0.3^**,+0.2,+0.2^**,+0.4^***,+0.0^**,+0.0^**,+0.4^***,+0.2^
,(0.1),,(0.2),,(0.1),,,,,(0.1),(0.2),(0.1),(0.1),(0.1),(0.2),(0.1),(0.1),(0.1),(0.1),(0.0),(0.0),(0.1),(0.1)
Policy coverage,+0.4^**,+0.5^**,-0.1,+0.1,-0.3^,-0.3,+0.5^**,-0.1,-0.3^,+0.4^**,+1.2^,+0.4^**,+0.4^**,+0.4^*,+1.2^,+0.4^**,+0.4^**,+0.4^**,+0.4^**,+0.0^*,+0.0^*,+0.5^***,+0.4^**
,(0.1),(0.2),(0.2),(0.2),(0.2),(0.2),(0.1),(0.2),(0.2),(0.1),(0.7),(0.1),(0.1),(0.1),(0.7),(0.1),(0.1),(0.1),(0.1),(0.0),(0.0),(0.1),(0.1)
MiniLM (vs. MPNet),+0.1,-0.0,+0.0,-0.0,-0.0,+0.0,-0.0,-0.0,+0.0,+0.1,-0.0,+0.1,+0.1,--,-0.0,+0.4,+0.1,+0.1,+0.5,-0.0^**,-0.0^**,+0.2,+0.1
,(0.8),(0.8),(1.2),(1.1),(0.9),(0.9),(0.8),(1.1),(0.9),(0.8),(0.8),(0.9),(0.8),,(0.8),(1.1),(0.8),(0.8),(1.1),(0.0),(0.0),(0.9),(0.8)
SciBERT (vs. MPNet),-0.1,-0.0,-0.0,-0.0,+0.0,+0.0,-0.0,-0.0,+0.0,-0.1,+0.0,-0.1,-0.1,--,+0.0,+2.6^*,-0.1,-0.1,+2.8^*,-0.1^***,-0.1^***,-3.4,-0.1
,(1.1),(1.1),(1.0),(1.0),(1.3),(1.3),(1.1),(1.0),(1.3),(1.1),(1.1),(1.3),(1.1),,(1.1),(1.2),(1.1),(1.1),(1.2),(0.0),(0.0),(2.1),(1.1)
Concept (vs. keyword),-0.0,+0.0,-0.0,-0.0,+0.0,-0.0,+0.0,+0.0,-0.0,-0.0,+0.0,-0.0,--,-0.1,+0.0,-0.1,-0.6,-0.0,+0.8,+0.1^***,+0.1^***,-1.0,-0.0
,(0.7),(0.7),(0.8),(0.8),(1.0),(1.0),(0.7),(0.8),(1.0),(0.6),(0.7),(0.7),,(0.8),(0.7),(0.7),(1.0),(0.7),(0.8),(0.0),(0.0),(1.2),(0.7)
Cap 20 (vs. 50),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,+0.0,-0.0,+0.0,-0.0,+0.0,-0.0,+0.0,-0.0,-0.0,-0.0,+0.0^*,+0.0^*,-0.1,-0.0
,(0.1),(0.1),(0.1),(0.1),(0.2),(0.2),(0.1),(0.1),(0.2),(0.2),(0.1),(0.1),(0.1),(0.1),(0.2),(0.1),(0.1),(0.1),(0.1),(0.0),(0.0),(0.3),(0.1)
No cap (vs. 50),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,+0.0,+0.0,-0.0,+0.0,-0.0,+0.0,-0.0,-0.0,+0.0,-0.0,+0.0,+0.0,+0.0,-0.2,-0.0
,(0.2),(0.2),(0.2),(0.2),(0.2),(0.2),(0.2),(0.2),(0.2),(0.3),(0.2),(0.2),(0.3),(0.2),(0.3),(0.2),(0.2),(0.2),(0.2),(0.0),(0.0),(0.4),(0.2)
MLP (vs. LR),-0.0,-0.0,-0.0,+0.0,-0.0,-0.0,+0.0,+0.0,+0.0,--,-0.0,+0.0,-0.0,+0.0,--,-0.0,-0.0,+0.6,+0.5,+0.0^*,+0.0^*,-0.8,-0.0
,(0.4),(0.4),(0.5),(0.5),(0.3),(0.3),(0.4),(0.5),(0.3),,(0.4),(0.4),(0.4),(0.6),,(0.4),(0.4),(0.5),(0.5),(0.0),(0.0),(0.9),(0.4)
ZS (vs. LR),+0.0,+0.0,+0.0,-0.0,+0.0,-0.0,+0.0,+0.0,-0.0,--,-0.0,--,+0.0,+0.0,--,-0.0,-0.0,+0.8,+0.7,+0.0,+0.0,-0.8,+0.0
,(0.7),(0.7),(1.3),(1.3),(0.8),(0.8),(0.7),(1.3),(0.8),,(0.7),,(0.7),(1.0),,(0.7),(0.7),(0.9),(0.9),(0.0),(0.0),(1.3),(0.7)
Domination (research% - policy%),--,+0.1,--,+0.1,--,+0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,(0.1),,(0.1),,(0.1),,,,,,,,,,,,,,,,,
Research coverage (%),--,--,--,--,--,--,+0.1,+0.1,+0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,(0.1),(0.1),(0.1),,,,,,,,,,,,,,
sdg1,--,--,--,--,--,--,--,--,--,--,+7.5^,--,--,--,+7.5^,--,--,--,--,--,--,--,--
,,,,,,,,,,,(3.9),,,,(3.9),,,,,,,,
sdg2,--,--,--,--,--,--,--,--,--,--,-2.8,--,--,--,-2.8,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.3),,,,(4.3),,,,,,,,
sdg3,--,--,--,--,--,--,--,--,--,--,+7.3,--,--,--,+7.3,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.5),,,,(4.5),,,,,,,,
sdg4,--,--,--,--,--,--,--,--,--,--,+1.5,--,--,--,+1.5,--,--,--,--,--,--,--,--
,,,,,,,,,,,(3.6),,,,(3.6),,,,,,,,
sdg5,--,--,--,--,--,--,--,--,--,--,+4.8,--,--,--,+4.8,--,--,--,--,--,--,--,--
,,,,,,,,,,,(3.7),,,,(3.7),,,,,,,,
sdg6,--,--,--,--,--,--,--,--,--,--,-1.0,--,--,--,-1.0,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.6),,,,(4.6),,,,,,,,
sdg7,--,--,--,--,--,--,--,--,--,--,+1.6,--,--,--,+1.6,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.4),,,,(4.4),,,,,,,,
sdg8,--,--,--,--,--,--,--,--,--,--,+2.0,--,--,--,+2.0,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.2),,,,(4.2),,,,,,,,
sdg9,--,--,--,--,--,--,--,--,--,--,+1.5,--,--,--,+1.5,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.1),,,,(4.1),,,,,,,,
sdg10,--,--,--,--,--,--,--,--,--,--,+10.1^,--,--,--,+10.1^,--,--,--,--,--,--,--,--
,,,,,,,,,,,(5.2),,,,(5.2),,,,,,,,
sdg11,--,--,--,--,--,--,--,--,--,--,+1.9,--,--,--,+1.9,--,--,--,--,--,--,--,--
,,,,,,,,,,,(3.6),,,,(3.6),,,,,,,,
sdg12,--,--,--,--,--,--,--,--,--,--,+3.5,--,--,--,+3.5,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.7),,,,(4.7),,,,,,,,
sdg13,--,--,--,--,--,--,--,--,--,--,-1.6^,--,--,--,-1.6^,--,--,--,--,--,--,--,--
,,,,,,,,,,,(0.8),,,,(0.8),,,,,,,,
sdg14,--,--,--,--,--,--,--,--,--,--,+0.8,--,--,--,+0.8,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.6),,,,(4.6),,,,,,,,
sdg15,--,--,--,--,--,--,--,--,--,--,-2.8,--,--,--,-2.8,--,--,--,--,--,--,--,--
,,,,,,,,,,,(4.4),,,,(4.4),,,,,,,,
sdg16,--,--,--,--,--,--,--,--,--,--,-9.4,--,--,--,-9.4,--,--,--,--,--,--,--,--
,,,,,,,,,,,(5.7),,,,(5.7),,,,,,,,
covgap× i_minilm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.0,--,--,-0.1,--,--,--,--
,,,,,,,,,,,,,,,,(0.1),,,(0.1),,,,
covgap× i_scibert,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.5^***,--,--,-0.5^***,--,--,--,--
,,,,,,,,,,,,,,,,(0.1),,,(0.1),,,,
covgap× i_concept,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,+0.1,--,-0.1^,--,--,--,--
,,,,,,,,,,,,,,,,,(0.1),,(0.1),,,,
covgap× i_mlp,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.1^,-0.1^,--,--,--,--
,,,,,,,,,,,,,,,,,,(0.0),(0.0),,,,
covgap× i_zs,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.1,-0.1,--,--,--,--
,,,,,,,,,,,,,,,,,,(0.1),(0.1),,,,
N,408,408,408,408,408,408,408,408,408,408,408,357,357,170,408,408,408,408,408,408,408,408,408
R^2,0.195,0.162,0.014,0.049,0.073,0.074,0.162,0.049,0.074,0.195,0.617,0.198,0.196,0.331,0.617,0.255,0.197,0.200,0.260,0.684,0.701,0.521,0.195
Adj. R^2,0.177,0.143,-0.008,0.028,0.052,0.053,0.143,0.028,0.053,0.181,0.592,0.179,0.177,0.302,0.594,0.235,0.177,0.178,0.233,0.677,0.694,0.510,0.177
