,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,486,11,17,9,24,2,2,29,1,53,16,3,10,1,2,5,41
SDG 2,5,454,12,3,3,8,5,7,10,4,7,5,7,5,16,4,5
SDG 3,7,10,995,14,31,5,1,1,9,6,6,2,6,2,4,8,3
SDG 4,5,0,11,821,17,0,0,16,11,10,3,1,3,0,4,12,6
SDG 5,9,2,28,18,866,2,0,22,7,25,1,0,2,1,5,32,6
SDG 6,5,10,4,0,1,577,19,0,6,1,7,5,13,3,17,4,7
SDG 7,2,3,2,0,0,7,611,5,14,2,13,11,37,2,8,0,10
SDG 8,10,7,8,16,20,0,2,321,29,19,7,7,9,0,1,3,13
SDG 9,3,6,7,18,4,3,13,28,495,4,17,20,20,5,6,6,25
SDG 10,71,6,9,20,27,2,2,34,13,304,9,0,1,0,1,42,28
SDG 11,10,7,8,4,2,10,10,6,16,6,431,10,23,0,11,8,14
SDG 12,0,14,7,1,0,5,22,6,4,1,9,296,15,6,15,2,12
SDG 13,7,7,1,1,3,5,24,3,5,1,8,4,654,13,22,4,16
SDG 14,0,5,3,4,2,9,1,1,3,1,5,6,14,441,23,0,5
SDG 15,2,7,9,2,7,14,2,1,4,0,9,8,19,6,665,1,5
SDG 16,6,2,7,12,21,0,1,7,2,18,5,2,3,3,5,837,32
SDG 17,21,5,8,11,6,2,2,12,20,8,4,6,16,2,7,33,617
