,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,1.000000,0.702107,0.648465,0.649152,0.680983,0.535795,0.522999,0.807655,0.628509,0.921826,0.670348,0.521302,0.598408,0.419334,0.505370,0.584165,0.693408
SDG 2,0.702107,1.000000,0.555266,0.496689,0.468824,0.602726,0.596068,0.665382,0.633796,0.636819,0.583896,0.685633,0.623524,0.581109,0.659099,0.399850,0.632229
SDG 3,0.648465,0.555266,1.000001,0.475276,0.562528,0.453202,0.379385,0.581090,0.487244,0.615824,0.527471,0.444197,0.480648,0.379941,0.421425,0.469169,0.533432
SDG 4,0.649152,0.496689,0.475276,1.000001,0.558949,0.380978,0.378979,0.673288,0.563623,0.652623,0.498747,0.403265,0.451191,0.333252,0.365780,0.475776,0.556686
SDG 5,0.680983,0.468824,0.562528,0.558949,1.000000,0.380273,0.332094,0.665123,0.464082,0.733879,0.476532,0.360292,0.431886,0.314873,0.361298,0.622424,0.527179
SDG 6,0.535795,0.602726,0.453202,0.380978,0.380273,1.000000,0.631504,0.506235,0.584267,0.473525,0.660953,0.699375,0.693351,0.660980,0.665417,0.418201,0.609608
SDG 7,0.522999,0.596068,0.379385,0.378979,0.332094,0.631504,1.000000,0.592653,0.720962,0.502835,0.637775,0.741869,0.743287,0.521506,0.574853,0.325905,0.651657
SDG 8,0.807655,0.665382,0.581090,0.673288,0.665123,0.506235,0.592653,1.000000,0.787678,0.867692,0.664516,0.607513,0.589287,0.478544,0.500610,0.529882,0.715203
SDG 9,0.628509,0.633796,0.487244,0.563623,0.464082,0.584267,0.720962,0.787678,1.000000,0.657529,0.741652,0.707987,0.667330,0.544507,0.579647,0.480675,0.785030
SDG 10,0.921826,0.636819,0.615824,0.652623,0.733879,0.473525,0.502835,0.867692,0.657529,1.000000,0.647425,0.493246,0.557098,0.404161,0.464545,0.622539,0.671381
SDG 11,0.670348,0.583896,0.527471,0.498747,0.476532,0.660953,0.637775,0.664516,0.741652,0.647425,1.000000,0.708263,0.708896,0.513220,0.667058,0.543431,0.697538
SDG 12,0.521302,0.685633,0.444197,0.403265,0.360292,0.699375,0.741869,0.607513,0.707987,0.493246,0.708263,1.000000,0.744057,0.650645,0.708946,0.430858,0.698072
SDG 13,0.598408,0.623524,0.480648,0.451191,0.431886,0.693351,0.743287,0.589287,0.667330,0.557098,0.708896,0.744057,1.000000,0.661492,0.756002,0.539234,0.838668
SDG 14,0.419334,0.581109,0.379941,0.333252,0.314873,0.660980,0.521506,0.478544,0.544507,0.404161,0.513220,0.650645,0.661492,1.000000,0.718170,0.411660,0.621174
SDG 15,0.505370,0.659099,0.421425,0.365780,0.361298,0.665417,0.574853,0.500610,0.579647,0.464545,0.667058,0.708946,0.756002,0.718170,1.000000,0.464721,0.674987
SDG 16,0.584165,0.399850,0.469169,0.475776,0.622424,0.418201,0.325905,0.529882,0.480675,0.622539,0.543431,0.430858,0.539234,0.411660,0.464721,1.000000,0.690017
SDG 17,0.693408,0.632229,0.533432,0.556686,0.527179,0.609608,0.651657,0.715203,0.785030,0.671381,0.697538,0.698072,0.838668,0.621174,0.674987,0.690017,1.000000
