sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.4934,1.2627,0.007694,-0.007693,0.343297,0.656703,1
2,2.7592,1.7923,0.009669,0.009669,0.29772,0.70228,1
3,27.6847,2.8513,0.248334,0.248334,0.48236,0.51764,1
4,13.5344,2.0774,0.11457,0.11457,0.27874,0.72126,1
5,3.7195,2.9735,0.00746,0.00746,0.461944,0.538056,1
6,1.7275,0.5703,0.011572,0.011572,0.291138,0.708862,1
7,4.6881,1.0183,0.036697,0.036698,0.392784,0.607216,1
8,2.5557,1.0998,0.014559,0.014559,0.425315,0.574685,1
9,15.4144,2.9735,0.124408,0.124409,0.331096,0.668904,1
10,2.1397,0.3666,0.017731,0.017731,0.470338,0.529662,1
11,3.8877,1.5071,0.023806,0.023806,0.35683,0.64317,1
12,1.7269,0.2444,0.014825,0.014825,0.318474,0.681526,1
13,5.3569,21.2627,0.159059,-0.159058,0.49092,0.50908,1
14,1.4038,1.5886,0.001848,-0.001848,0.310809,0.689191,1
15,4.8761,1.4257,0.034505,0.034504,0.335232,0.664768,1
16,7.2667,39.6334,0.323667,-0.323667,0.307939,0.692061,1
17,0.7656,17.3523,0.165868,-0.165867,0.253096,0.746904,1
