,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,1.000000,0.990977,0.988981,0.985872,0.990729,0.983196,0.980266,0.992938,0.984248,0.997073,0.986691,0.980596,0.982407,0.974445,0.979943,0.974972,0.972051
SDG 2,0.990977,1.000000,0.986450,0.982697,0.985112,0.990408,0.987578,0.989956,0.989269,0.988982,0.988416,0.989231,0.986470,0.984871,0.988766,0.970715,0.970526
SDG 3,0.988981,0.986450,1.000000,0.985827,0.986836,0.982799,0.975871,0.985614,0.981708,0.986493,0.985108,0.981185,0.980183,0.975804,0.979567,0.974243,0.968647
SDG 4,0.985872,0.982697,0.985827,1.000000,0.989675,0.979302,0.974532,0.988389,0.986085,0.987474,0.986021,0.979457,0.976030,0.973118,0.976233,0.976056,0.967664
SDG 5,0.990729,0.985112,0.986836,0.989675,1.000000,0.978828,0.973367,0.989622,0.982948,0.993018,0.984625,0.978165,0.975494,0.972374,0.977370,0.984431,0.966683
SDG 6,0.983196,0.990408,0.982799,0.979302,0.978828,1.000000,0.988687,0.981978,0.987133,0.981890,0.992166,0.992287,0.988163,0.990368,0.991508,0.971942,0.969282
SDG 7,0.980266,0.987578,0.975871,0.974532,0.973367,0.988687,1.000001,0.982937,0.991471,0.980898,0.987572,0.989933,0.985129,0.980444,0.982326,0.963107,0.963312
SDG 8,0.992938,0.989956,0.985614,0.988389,0.989622,0.981978,0.982937,1.000000,0.990346,0.994475,0.988549,0.984719,0.981364,0.976821,0.980312,0.973806,0.974331
SDG 9,0.984248,0.989269,0.981708,0.986085,0.982948,0.987133,0.991471,0.990346,1.000000,0.986535,0.992127,0.989856,0.984918,0.981686,0.983558,0.973239,0.972144
SDG 10,0.997073,0.988982,0.986493,0.987474,0.993018,0.981890,0.980898,0.994475,0.986535,1.000000,0.986802,0.980620,0.979884,0.973849,0.979635,0.979944,0.968655
SDG 11,0.986691,0.988416,0.985108,0.986021,0.984625,0.992166,0.987572,0.988549,0.992127,0.986802,1.000000,0.992324,0.986351,0.984018,0.988323,0.977051,0.972839
SDG 12,0.980596,0.989231,0.981185,0.979457,0.978165,0.992287,0.989933,0.984719,0.989856,0.980620,0.992324,1.000000,0.989444,0.988024,0.989236,0.972734,0.974751
SDG 13,0.982407,0.986470,0.980183,0.976030,0.975494,0.988163,0.985129,0.981364,0.984918,0.979884,0.986351,0.989444,1.000000,0.988088,0.989089,0.974883,0.987800
SDG 14,0.974445,0.984871,0.975804,0.973118,0.972374,0.990368,0.980444,0.976821,0.981686,0.973849,0.984018,0.988024,0.988088,1.000000,0.993883,0.971271,0.972806
SDG 15,0.979943,0.988766,0.979567,0.976233,0.977370,0.991508,0.982326,0.980312,0.983558,0.979635,0.988323,0.989236,0.989089,0.993883,1.000000,0.974278,0.971692
SDG 16,0.974972,0.970715,0.974243,0.976056,0.984431,0.971942,0.963107,0.973806,0.973239,0.979944,0.977051,0.972734,0.974883,0.971271,0.974278,1.000000,0.971273
SDG 17,0.972051,0.970526,0.968647,0.967664,0.966683,0.969282,0.963312,0.974331,0.972144,0.968655,0.972839,0.974751,0.987800,0.972806,0.971692,0.971273,1.000000
