,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,373,11,13,7,18,2,2,18,5,43,13,0,9,0,3,7,34
SDG 2,10,334,5,6,4,7,2,6,11,9,7,3,11,4,18,2,6
SDG 3,8,7,766,13,20,1,1,2,7,5,4,2,5,2,3,12,2
SDG 4,7,2,14,688,10,0,1,17,13,2,2,0,3,0,0,7,3
SDG 5,15,3,21,17,725,1,0,12,4,26,0,0,1,0,3,18,8
SDG 6,3,9,4,1,1,441,21,1,3,0,12,7,15,1,16,4,10
SDG 7,1,7,6,3,0,5,500,4,18,0,11,15,17,1,7,1,10
SDG 8,11,5,7,13,17,0,3,238,25,21,8,5,8,0,0,2,9
SDG 9,2,5,7,18,6,1,9,25,416,3,11,20,10,1,6,6,11
SDG 10,57,3,8,16,24,1,3,28,6,237,9,0,2,0,2,44,11
SDG 11,7,3,7,2,3,12,15,9,18,4,330,11,16,0,7,10,13
SDG 12,0,10,3,0,0,7,21,3,7,0,8,218,12,3,15,1,8
SDG 13,7,11,1,1,2,10,21,0,8,1,8,6,491,5,14,4,7
SDG 14,0,3,0,2,2,7,0,0,3,1,2,6,10,333,15,4,7
SDG 15,5,8,4,0,6,15,5,1,4,0,4,7,20,9,502,3,9
SDG 16,9,0,10,9,19,0,2,4,1,13,3,2,3,1,2,718,20
SDG 17,8,2,2,3,3,1,3,7,10,0,7,5,11,1,3,20,434
