sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.3398,3.666,0.033262,-0.033262,0.046785,0.953215,1
2,1.6536,0.8961,0.007574,0.007575,0.04468,0.95532,1
3,28.5396,2.6069,0.259327,0.259327,0.05456,0.94544,1
4,17.2363,1.9552,0.152811,0.152811,0.0439,0.9561,1
5,1.8714,3.1365,0.01265,-0.012651,0.049696,0.950304,1
6,1.1121,0.7332,0.003789,0.003789,0.042683,0.957317,1
7,2.9413,0.6925,0.022488,0.022488,0.049717,0.950283,1
8,1.0487,1.222,0.001733,-0.001733,0.035315,0.964685,1
9,18.4476,1.9959,0.164517,0.164517,0.042331,0.957669,1
10,1.2666,0.2851,0.009815,0.009815,0.051369,0.948631,1
11,4.3461,1.7923,0.025538,0.025538,0.050589,0.949411,1
12,1.2324,0.2851,0.009473,0.009473,0.038141,0.961859,1
13,4.6485,14.7454,0.100969,-0.100969,0.05107,0.94893,1
14,1.065,2.5255,0.014605,-0.014605,0.044351,0.955649,1
15,3.5152,1.3442,0.02171,0.02171,0.044993,0.955007,1
16,10.3392,41.9552,0.31616,-0.31616,0.040417,0.959583,1
17,0.3967,20.1629,0.197662,-0.197662,0.035601,0.964399,1
