sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.3398,3.666,0.033262,-0.033262,0.046785,0.953215,1
2,1.6536,0.8961,0.007574,0.007575,0.04468,0.95532,1
3,28.538,2.6069,0.259311,0.259311,0.05456,0.94544,1
4,17.2347,1.9552,0.152795,0.152795,0.0439,0.9561,1
5,1.873,3.1365,0.012634,-0.012635,0.049791,0.950209,1
6,1.1121,0.7332,0.003789,0.003789,0.042683,0.957317,1
7,2.9413,0.6925,0.022488,0.022488,0.049717,0.950283,1
8,1.0487,1.222,0.001733,-0.001733,0.035315,0.964685,1
9,18.4476,1.9959,0.164517,0.164517,0.042331,0.957669,1
10,1.2666,0.2851,0.009815,0.009815,0.051368,0.948632,1
11,4.3444,1.7923,0.025522,0.025521,0.050575,0.949425,1
12,1.2324,0.2851,0.009473,0.009473,0.038141,0.961859,1
13,4.6485,14.7454,0.100969,-0.100969,0.05107,0.94893,1
14,1.065,2.5255,0.014605,-0.014605,0.044352,0.955648,1
15,3.5152,1.3442,0.02171,0.02171,0.044993,0.955007,1
16,10.3424,41.9552,0.316128,-0.316128,0.04042,0.95958,1
17,0.3967,20.1629,0.197662,-0.197662,0.035601,0.964399,1
