,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,1.000000,0.731022,0.651189,0.652425,0.747325,0.592554,0.496598,0.805141,0.652571,0.928261,0.672404,0.544137,0.598641,0.455045,0.497835,0.619034,0.751762
SDG 2,0.731022,1.000000,0.552997,0.491088,0.528459,0.630311,0.553303,0.651544,0.632650,0.639874,0.580398,0.657659,0.644241,0.562376,0.652033,0.449862,0.670001
SDG 3,0.651189,0.552997,1.000000,0.535360,0.620457,0.512269,0.374201,0.605674,0.532542,0.618531,0.562189,0.467108,0.471878,0.369502,0.408596,0.530828,0.575047
SDG 4,0.652425,0.491088,0.535360,1.000000,0.629652,0.450100,0.383046,0.694817,0.595165,0.678791,0.552670,0.424524,0.455842,0.369612,0.392573,0.541113,0.580130
SDG 5,0.747325,0.528459,0.620457,0.629652,1.000000,0.447073,0.368626,0.736122,0.531686,0.788169,0.539455,0.417920,0.469969,0.378659,0.376047,0.679086,0.615468
SDG 6,0.592554,0.630311,0.512269,0.450100,0.447073,1.000000,0.621542,0.544216,0.609879,0.536376,0.679663,0.710680,0.713785,0.638208,0.653179,0.490964,0.672813
SDG 7,0.496598,0.553303,0.374201,0.383046,0.368626,0.621542,1.000000,0.564128,0.704634,0.486311,0.623253,0.737837,0.751094,0.501262,0.527819,0.373436,0.651325
SDG 8,0.805141,0.651544,0.605674,0.694817,0.736122,0.544216,0.564128,1.000000,0.801807,0.860965,0.691388,0.609265,0.584656,0.520703,0.490377,0.594265,0.736824
SDG 9,0.652571,0.632650,0.532542,0.595165,0.531686,0.609879,0.704634,0.801807,1.000000,0.680951,0.744270,0.686814,0.662327,0.539303,0.538893,0.552267,0.787170
SDG 10,0.928261,0.639874,0.618531,0.678791,0.788169,0.536376,0.486311,0.860965,0.680951,1.000000,0.673870,0.514665,0.562252,0.454131,0.457380,0.677174,0.728367
SDG 11,0.672404,0.580398,0.562189,0.552670,0.539455,0.679663,0.623253,0.691388,0.744270,0.673870,1.000000,0.721807,0.688720,0.522203,0.622888,0.572328,0.705869
SDG 12,0.544137,0.657659,0.467108,0.424524,0.417920,0.710680,0.737837,0.609265,0.686814,0.514665,0.721807,1.000000,0.741671,0.660100,0.679059,0.453053,0.699664
SDG 13,0.598641,0.644241,0.471878,0.455842,0.469969,0.713785,0.751094,0.584656,0.662327,0.562252,0.688720,0.741671,1.000000,0.666441,0.737139,0.528847,0.820526
SDG 14,0.455045,0.562376,0.369502,0.369612,0.378659,0.638208,0.501262,0.520703,0.539303,0.454131,0.522203,0.660100,0.666441,1.000000,0.702678,0.449196,0.624751
SDG 15,0.497835,0.652033,0.408596,0.392573,0.376047,0.653179,0.527819,0.490377,0.538893,0.457380,0.622888,0.679059,0.737139,0.702678,1.000000,0.445365,0.639001
SDG 16,0.619034,0.449862,0.530828,0.541113,0.679086,0.490964,0.373436,0.594265,0.552267,0.677174,0.572328,0.453053,0.528847,0.449196,0.445365,1.000000,0.697613
SDG 17,0.751762,0.670001,0.575047,0.580130,0.615468,0.672813,0.651325,0.736824,0.787170,0.728367,0.705869,0.699664,0.820526,0.624751,0.639001,0.697613,1.000000
