,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,412,9,8,7,16,1,1,19,4,41,8,0,6,1,2,3,20
SDG 2,8,367,5,2,4,4,5,6,8,2,6,5,6,3,13,0,1
SDG 3,3,5,795,9,16,2,0,2,3,1,4,0,5,2,1,10,2
SDG 4,3,1,10,695,9,0,1,16,12,6,4,1,1,0,0,9,1
SDG 5,7,4,15,9,763,1,0,13,5,13,1,0,1,1,2,17,2
SDG 6,1,9,2,0,1,470,15,0,4,1,12,5,12,4,10,1,2
SDG 7,3,4,4,0,0,5,531,5,8,1,6,8,21,0,5,2,3
SDG 8,9,5,5,13,16,0,0,258,19,20,8,4,4,0,1,2,8
SDG 9,0,3,6,17,5,3,10,22,434,2,10,7,9,1,4,4,20
SDG 10,59,3,8,18,15,1,1,28,9,262,7,0,0,0,1,22,17
SDG 11,4,4,7,1,0,8,11,5,16,5,363,9,13,0,6,5,10
SDG 12,0,9,4,0,0,4,18,1,5,1,6,243,8,4,5,0,8
SDG 13,5,5,2,1,3,5,8,1,6,0,4,3,525,6,14,2,7
SDG 14,0,3,0,0,1,5,1,0,3,1,2,6,11,351,8,2,1
SDG 15,2,6,3,3,6,13,2,1,3,0,5,6,10,7,524,5,6
SDG 16,4,1,8,10,18,0,2,7,3,12,4,1,3,0,1,726,16
SDG 17,9,2,5,9,2,0,3,5,14,4,3,4,14,0,6,13,427
