sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.5329,2.0367,0.015038,-0.015038,0.435412,0.564588,1
2,2.5455,1.2627,0.012827,0.012828,0.284926,0.715074,1
3,25.3089,2.1996,0.231093,0.231093,0.464446,0.535554,1
4,14.5959,2.1589,0.124371,0.12437,0.262241,0.737759,1
5,2.4605,3.055,0.005945,-0.005945,0.333008,0.666992,1
6,1.1083,0.8147,0.002937,0.002936,0.28166,0.71834,1
7,4.0161,1.222,0.027941,0.027941,0.43414,0.56586,1
8,2.4038,1.3035,0.011003,0.011003,0.427018,0.572982,1
9,18.2523,2.9328,0.153195,0.153195,0.289086,0.710914,1
10,1.3733,0.4073,0.009659,0.00966,0.309134,0.690866,1
11,4.8062,1.6293,0.031768,0.031769,0.460372,0.539628,1
12,2.1074,0.3666,0.017408,0.017408,0.424928,0.575072,1
13,4.1751,18.8187,0.146437,-0.146436,0.477659,0.522341,1
14,1.9997,2.0367,0.00037,-0.00037,0.391982,0.608018,1
15,2.5718,1.4664,0.011054,0.011054,0.229455,0.770545,1
16,11.3112,35.0305,0.237193,-0.237193,0.333485,0.666515,1
17,0.4313,23.2587,0.228273,-0.228274,0.218848,0.781152,1
