,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
SDG1,1.0000,0.6787,0.6272,0.5999,0.6745,0.4900,0.4821,0.7948,0.5704,0.8969,0.6169,0.4727,0.5467,0.3649,0.4527,0.4290,0.5361
SDG2,0.6787,1.0000,0.5239,0.4624,0.4745,0.6302,0.6301,0.6684,0.6373,0.6454,0.5894,0.6792,0.6327,0.5940,0.6524,0.3002,0.5662
SDG3,0.6272,0.5239,1.0000,0.4590,0.5204,0.4694,0.4009,0.5969,0.5038,0.5909,0.5381,0.4506,0.4731,0.3688,0.4139,0.3529,0.4725
SDG4,0.5999,0.4624,0.4590,1.0000,0.5377,0.3684,0.3660,0.6584,0.5437,0.5831,0.4878,0.3675,0.4278,0.3071,0.3436,0.3602,0.4594
SDG5,0.6745,0.4745,0.5204,0.5377,1.0000,0.3822,0.3350,0.6751,0.4692,0.6895,0.4689,0.3567,0.4282,0.3026,0.3517,0.5077,0.4356
SDG6,0.4900,0.6302,0.4694,0.3684,0.3822,1.0000,0.6568,0.4970,0.5722,0.4493,0.6567,0.6966,0.6964,0.6521,0.6755,0.3426,0.5704
SDG7,0.4821,0.6301,0.4009,0.3660,0.3350,0.6568,1.0000,0.5783,0.7014,0.5024,0.6287,0.7364,0.7293,0.5260,0.5764,0.2341,0.6125
SDG8,0.7948,0.6684,0.5969,0.6584,0.6751,0.4970,0.5783,1.0000,0.7338,0.8753,0.6483,0.5663,0.5643,0.4384,0.4616,0.3846,0.5975
SDG9,0.5704,0.6373,0.5038,0.5437,0.4692,0.5722,0.7014,0.7338,1.0000,0.6151,0.7281,0.6622,0.6446,0.5118,0.5525,0.3718,0.7010
SDG10,0.8969,0.6454,0.5909,0.5831,0.6895,0.4493,0.5024,0.8753,0.6151,1.0000,0.5913,0.4563,0.5156,0.3626,0.4149,0.4187,0.4994
SDG11,0.6169,0.5894,0.5381,0.4878,0.4689,0.6567,0.6287,0.6483,0.7281,0.5913,1.0000,0.6631,0.6674,0.4699,0.6338,0.4236,0.6297
SDG12,0.4727,0.6792,0.4506,0.3675,0.3567,0.6966,0.7364,0.5663,0.6622,0.4563,0.6631,1.0000,0.7044,0.6303,0.6978,0.3280,0.6639
SDG13,0.5467,0.6327,0.4731,0.4278,0.4282,0.6964,0.7293,0.5643,0.6446,0.5156,0.6674,0.7044,1.0000,0.6110,0.7259,0.4351,0.8173
SDG14,0.3649,0.5940,0.3688,0.3071,0.3026,0.6521,0.5260,0.4384,0.5118,0.3626,0.4699,0.6303,0.6110,1.0000,0.6831,0.3050,0.5481
SDG15,0.4527,0.6524,0.4139,0.3436,0.3517,0.6755,0.5764,0.4616,0.5525,0.4149,0.6338,0.6978,0.7259,0.6831,1.0000,0.3570,0.6239
SDG16,0.4290,0.3002,0.3529,0.3602,0.5077,0.3426,0.2341,0.3846,0.3718,0.4187,0.4236,0.3280,0.4351,0.3050,0.3570,1.0000,0.5370
SDG17,0.5361,0.5662,0.4725,0.4594,0.4356,0.5704,0.6125,0.5975,0.7010,0.4994,0.6297,0.6639,0.8173,0.5481,0.6239,0.5370,1.0000
