tier_label,sample_size,n_draws,deterministic,macro_coverage_variance,mean_semantic_gap,std_semantic_gap,mean_h26_asymmetry_gap,std_h26_asymmetry_gap,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.006803,0.466974,0.014561,0.130621,0.006888,0.339717,0.005054,17.0,15.64
2k,2000,100,False,0.004927,0.44405,0.010744,0.139092,0.004331,0.339685,0.003372,17.0,16.87
5k,5000,100,False,0.003015,0.429602,0.006666,0.146184,0.00459,0.340567,0.001903,17.0,17.0
10k,10000,100,False,0.002091,0.42261,0.005114,0.149053,0.003545,0.34036,0.001334,17.0,17.0
20k,20000,100,False,0.001529,0.419054,0.004317,0.150713,0.002476,0.340418,0.001046,17.0,17.0
50k,50000,100,False,0.000948,0.416328,0.002511,0.151726,0.001536,0.340184,0.000638,17.0,17.0
100k,100000,100,False,0.000687,0.415656,0.001957,0.151881,0.001243,0.340188,0.000462,17.0,17.0
200k,200000,100,False,0.000463,0.415379,0.001209,0.152084,0.000769,0.340197,0.000336,17.0,17.0
500k,500000,100,False,0.000276,0.415212,0.000721,0.152321,0.000438,0.340228,0.000201,17.0,17.0
1m,1000000,100,False,0.000168,0.41511,0.000413,0.152385,0.00029,0.340218,0.000121,17.0,17.0
2m,2000000,100,False,7e-05,0.415124,0.000188,0.152365,0.00014,0.340223,4.7e-05,17.0,17.0
full corpus,2543698,1,True,,0.415153,,0.152361,,0.34023,,,
