sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.6905,1.7508,0.010604,-0.010603,0.324877,0.675123,1
2,3.4102,0.855,0.025551,0.025552,0.332647,0.667353,1
3,17.8626,0.4479,0.174147,0.174147,0.438868,0.561132,1
4,13.8383,0.1629,0.136755,0.136754,0.286374,0.713626,1
5,2.2897,0.855,0.014346,0.014347,0.249662,0.750338,1
6,4.0331,0.4886,0.035445,0.035445,0.512054,0.487946,1
7,8.369,0.4072,0.079618,0.079618,0.495869,0.504131,1
8,1.4762,0.9365,0.005397,0.005397,0.293761,0.706239,1
9,10.2461,2.4023,0.078439,0.078438,0.235833,0.764167,1
10,0.9385,0.0407,0.008978,0.008978,0.512733,0.487267,1
11,5.4506,2.8909,0.025597,0.025597,0.457773,0.542227,1
12,3.7263,0.4479,0.032785,0.032784,0.431931,0.568069,1
13,5.2316,30.741,0.255094,-0.255094,0.536984,0.463016,1
14,3.884,0.2036,0.036804,0.036804,0.489305,0.510695,1
15,7.4239,0.8958,0.065282,0.065281,0.463327,0.536673,1
16,8.4023,15.0244,0.066221,-0.066221,0.341255,0.658745,1
17,2.7271,41.4495,0.387224,-0.387224,0.654344,0.345656,1
