,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
SDG1,1.0000,0.7165,0.6162,0.6070,0.7327,0.5467,0.4534,0.7991,0.6118,0.9175,0.6257,0.5047,0.5643,0.4122,0.4548,0.5334,0.6793
SDG2,0.7165,1.0000,0.5188,0.4527,0.5204,0.6363,0.5618,0.6504,0.6258,0.6372,0.5642,0.6487,0.6474,0.5557,0.6361,0.3954,0.6417
SDG3,0.6162,0.5188,1.0000,0.5067,0.5956,0.4848,0.3627,0.5832,0.5099,0.5770,0.5350,0.4496,0.4448,0.3436,0.3876,0.4638,0.5328
SDG4,0.6070,0.4527,0.5067,1.0000,0.6082,0.4192,0.3542,0.6708,0.5632,0.6289,0.5208,0.3893,0.4232,0.3370,0.3629,0.4828,0.5183
SDG5,0.7327,0.5204,0.5956,0.6082,1.0000,0.4274,0.3541,0.7327,0.5205,0.7569,0.5166,0.4023,0.4546,0.3520,0.3522,0.6182,0.5721
SDG6,0.5467,0.6363,0.4848,0.4192,0.4274,1.0000,0.6252,0.5204,0.5906,0.4985,0.6620,0.7061,0.7114,0.6233,0.6559,0.4370,0.6514
SDG7,0.4534,0.5618,0.3627,0.3542,0.3541,0.6252,1.0000,0.5450,0.6886,0.4648,0.5999,0.7335,0.7318,0.4879,0.5195,0.3203,0.6387
SDG8,0.7991,0.6504,0.5832,0.6708,0.7327,0.5204,0.5450,1.0000,0.7658,0.8630,0.6572,0.5699,0.5603,0.4835,0.4576,0.5202,0.6803
SDG9,0.6118,0.6258,0.5099,0.5632,0.5205,0.5906,0.6886,0.7658,1.0000,0.6457,0.7254,0.6572,0.6409,0.5029,0.5104,0.4870,0.7484
SDG10,0.9175,0.6372,0.5770,0.6289,0.7569,0.4985,0.4648,0.8630,0.6457,1.0000,0.6227,0.4781,0.5313,0.4132,0.4132,0.5810,0.6537
SDG11,0.6257,0.5642,0.5350,0.5208,0.5166,0.6620,0.5999,0.6572,0.7254,0.6227,1.0000,0.6791,0.6446,0.4769,0.5898,0.5010,0.6749
SDG12,0.5047,0.6487,0.4496,0.3893,0.4023,0.7061,0.7335,0.5699,0.6572,0.4781,0.6791,1.0000,0.7156,0.6410,0.6729,0.3930,0.6898
SDG13,0.5643,0.6474,0.4448,0.4232,0.4546,0.7114,0.7318,0.5603,0.6409,0.5313,0.6446,0.7156,1.0000,0.6340,0.7171,0.4662,0.8153
SDG14,0.4122,0.5557,0.3436,0.3370,0.3520,0.6233,0.4879,0.4835,0.5029,0.4132,0.4769,0.6410,0.6340,1.0000,0.6756,0.3780,0.5822
SDG15,0.4548,0.6361,0.3876,0.3629,0.3522,0.6559,0.5195,0.4576,0.5104,0.4132,0.5898,0.6729,0.7171,0.6756,1.0000,0.3773,0.6092
SDG16,0.5334,0.3954,0.4638,0.4828,0.6182,0.4370,0.3203,0.5202,0.4870,0.5810,0.5010,0.3930,0.4662,0.3780,0.3773,1.0000,0.6057
SDG17,0.6793,0.6417,0.5328,0.5183,0.5721,0.6514,0.6387,0.6803,0.7484,0.6537,0.6749,0.6898,0.8153,0.5822,0.6092,0.6057,1.0000
