,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
SDG1,218.0000,9.0000,6.0000,5.0000,8.0000,1.0000,1.0000,18.0000,2.0000,33.0000,4.0000,0.0000,2.0000,0.0000,0.0000,4.0000,27.0000
SDG2,10.0000,225.0000,2.0000,1.0000,2.0000,3.0000,3.0000,5.0000,7.0000,5.0000,4.0000,5.0000,3.0000,3.0000,8.0000,0.0000,2.0000
SDG3,7.0000,6.0000,486.0000,8.0000,17.0000,3.0000,0.0000,7.0000,5.0000,5.0000,8.0000,3.0000,7.0000,1.0000,2.0000,6.0000,6.0000
SDG4,5.0000,1.0000,15.0000,486.0000,5.0000,1.0000,0.0000,26.0000,10.0000,7.0000,2.0000,2.0000,0.0000,0.0000,0.0000,4.0000,8.0000
SDG5,5.0000,4.0000,25.0000,9.0000,480.0000,1.0000,0.0000,20.0000,12.0000,27.0000,1.0000,0.0000,0.0000,1.0000,2.0000,26.0000,4.0000
SDG6,1.0000,18.0000,1.0000,0.0000,0.0000,283.0000,11.0000,0.0000,6.0000,1.0000,4.0000,10.0000,10.0000,4.0000,9.0000,3.0000,13.0000
SDG7,1.0000,3.0000,4.0000,0.0000,0.0000,3.0000,367.0000,6.0000,10.0000,1.0000,9.0000,20.0000,16.0000,1.0000,5.0000,0.0000,5.0000
SDG8,10.0000,7.0000,6.0000,6.0000,11.0000,0.0000,0.0000,143.0000,18.0000,14.0000,8.0000,3.0000,2.0000,0.0000,0.0000,0.0000,5.0000
SDG9,3.0000,7.0000,5.0000,9.0000,2.0000,0.0000,11.0000,14.0000,254.0000,2.0000,24.0000,20.0000,6.0000,1.0000,2.0000,2.0000,20.0000
SDG10,32.0000,5.0000,5.0000,10.0000,15.0000,1.0000,1.0000,39.0000,5.0000,129.0000,5.0000,0.0000,0.0000,0.0000,0.0000,16.0000,20.0000
SDG11,2.0000,7.0000,5.0000,2.0000,0.0000,11.0000,10.0000,5.0000,8.0000,5.0000,243.0000,10.0000,3.0000,0.0000,6.0000,3.0000,10.0000
SDG12,0.0000,11.0000,1.0000,0.0000,0.0000,1.0000,13.0000,1.0000,3.0000,0.0000,3.0000,141.0000,6.0000,2.0000,3.0000,0.0000,8.0000
SDG13,4.0000,10.0000,0.0000,0.0000,1.0000,7.0000,10.0000,2.0000,3.0000,1.0000,5.0000,9.0000,282.0000,8.0000,11.0000,2.0000,11.0000
SDG14,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,1.0000,1.0000,3.0000,5.0000,197.0000,2.0000,3.0000,3.0000
SDG15,2.0000,8.0000,2.0000,1.0000,2.0000,11.0000,3.0000,2.0000,2.0000,2.0000,6.0000,4.0000,6.0000,9.0000,329.0000,0.0000,10.0000
SDG16,3.0000,0.0000,11.0000,19.0000,21.0000,1.0000,1.0000,4.0000,4.0000,10.0000,10.0000,0.0000,3.0000,4.0000,1.0000,495.0000,28.0000
SDG17,2.0000,0.0000,2.0000,0.0000,2.0000,0.0000,1.0000,1.0000,6.0000,2.0000,7.0000,5.0000,5.0000,0.0000,2.0000,1.0000,123.0000
