variant,temperature,metric,value
raw_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.965686
raw_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.984923
raw_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.875
raw_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.877226
raw_softmax,0.03,mean_abs_coverage_difference,0.020589
raw_softmax,0.03,mean_abs_semantic_gap_difference,0.048463
raw_softmax,0.03,top3_overlap_coverage_gap,3.0
raw_softmax,0.03,top3_overlap_semantic_gap,2.0
raw_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.953431
raw_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.974624
raw_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.806373
raw_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.747238
raw_softmax,0.05,mean_abs_coverage_difference,0.028465
raw_softmax,0.05,mean_abs_semantic_gap_difference,0.077846
raw_softmax,0.05,top3_overlap_coverage_gap,2.0
raw_softmax,0.05,top3_overlap_semantic_gap,2.0
raw_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.89951
raw_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.95498
raw_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.639706
raw_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.643788
raw_softmax,0.1,mean_abs_coverage_difference,0.051582
raw_softmax,0.1,mean_abs_semantic_gap_difference,0.12327
raw_softmax,0.1,top3_overlap_coverage_gap,2.0
raw_softmax,0.1,top3_overlap_semantic_gap,0.0
raw_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.835784
raw_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.939621
raw_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.651961
raw_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.626555
raw_softmax,0.2,mean_abs_coverage_difference,0.070888
raw_softmax,0.2,mean_abs_semantic_gap_difference,0.154898
raw_softmax,0.2,top3_overlap_coverage_gap,2.0
raw_softmax,0.2,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.794118
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.54449
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.632353
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.602995
corpus_calibrated_softmax,0.03,mean_abs_coverage_difference,0.050812
corpus_calibrated_softmax,0.03,mean_abs_semantic_gap_difference,0.06105
corpus_calibrated_softmax,0.03,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.03,top3_overlap_semantic_gap,0.0
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.794118
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.543802
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.637255
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.607956
corpus_calibrated_softmax,0.05,mean_abs_coverage_difference,0.05085
corpus_calibrated_softmax,0.05,mean_abs_semantic_gap_difference,0.060943
corpus_calibrated_softmax,0.05,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.05,top3_overlap_semantic_gap,0.0
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.791667
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.538876
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.671569
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.631872
corpus_calibrated_softmax,0.1,mean_abs_coverage_difference,0.051501
corpus_calibrated_softmax,0.1,mean_abs_semantic_gap_difference,0.060496
corpus_calibrated_softmax,0.1,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.1,top3_overlap_semantic_gap,0.0
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.779412
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.516611
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.732843
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.701889
corpus_calibrated_softmax,0.2,mean_abs_coverage_difference,0.054213
corpus_calibrated_softmax,0.2,mean_abs_semantic_gap_difference,0.060696
corpus_calibrated_softmax,0.2,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.2,top3_overlap_semantic_gap,0.0
