variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.03,research,1,38340.854977,0.015073,0.006905,0.008168
raw_softmax,0.03,policy,1,50.550302,0.020582,0.008958,0.011624
raw_softmax,0.03,research,2,101268.498603,0.039812,0.034102,0.00571
raw_softmax,0.03,policy,2,47.413634,0.019305,0.003664,0.015641
raw_softmax,0.03,research,3,365994.50724,0.143883,0.178626,-0.034743
raw_softmax,0.03,policy,3,51.070793,0.020794,0.003664,0.01713
raw_softmax,0.03,research,4,342838.87746,0.13478,0.138383,-0.003603
raw_softmax,0.03,policy,4,39.882217,0.016239,0.002036,0.014203
raw_softmax,0.03,research,5,69609.397028,0.027365,0.022897,0.004468
raw_softmax,0.03,policy,5,89.375851,0.036391,0.011401,0.02499
raw_softmax,0.03,research,6,120679.745087,0.047443,0.040331,0.007112
raw_softmax,0.03,policy,6,33.002034,0.013437,0.003664,0.009773
raw_softmax,0.03,research,7,194793.380083,0.076579,0.08369,-0.007111
raw_softmax,0.03,policy,7,47.832887,0.019476,0.004072,0.015404
raw_softmax,0.03,research,8,62638.54613,0.024625,0.014762,0.009863
raw_softmax,0.03,policy,8,27.640125,0.011254,0.00285,0.008404
raw_softmax,0.03,research,9,233706.883816,0.091877,0.102461,-0.010584
raw_softmax,0.03,policy,9,72.156427,0.02938,0.023616,0.005764
raw_softmax,0.03,research,10,36716.978079,0.014434,0.009385,0.005049
raw_softmax,0.03,policy,10,15.507134,0.006314,0.0,0.006314
raw_softmax,0.03,research,11,140439.030463,0.055211,0.054506,0.000705
raw_softmax,0.03,policy,11,37.645923,0.015328,0.027687,-0.012359
raw_softmax,0.03,research,12,112556.09299,0.044249,0.037263,0.006986
raw_softmax,0.03,policy,12,31.895269,0.012987,0.002443,0.010544
raw_softmax,0.03,research,13,138429.286514,0.05442,0.052316,0.002104
raw_softmax,0.03,policy,13,625.098043,0.254519,0.354642,-0.100123
raw_softmax,0.03,research,14,110387.084942,0.043396,0.03884,0.004556
raw_softmax,0.03,policy,14,46.319646,0.01886,0.001221,0.017639
raw_softmax,0.03,research,15,186619.356465,0.073365,0.074239,-0.000874
raw_softmax,0.03,policy,15,60.522463,0.024643,0.008143,0.0165
raw_softmax,0.03,research,16,191543.440377,0.075301,0.084023,-0.008722
raw_softmax,0.03,policy,16,472.562015,0.192411,0.197476,-0.005065
raw_softmax,0.03,research,17,97052.331441,0.038154,0.027271,0.010883
raw_softmax,0.03,policy,17,707.524643,0.28808,0.344463,-0.056383
raw_softmax,0.05,research,1,60968.364225,0.023968,0.006905,0.017063
raw_softmax,0.05,policy,1,61.699838,0.025122,0.008958,0.016164
raw_softmax,0.05,research,2,113166.733506,0.044489,0.034102,0.010387
raw_softmax,0.05,policy,2,54.891701,0.02235,0.003664,0.018686
raw_softmax,0.05,research,3,285823.796227,0.112365,0.178626,-0.066261
raw_softmax,0.05,policy,3,52.831166,0.021511,0.003664,0.017847
raw_softmax,0.05,research,4,317537.844101,0.124833,0.138383,-0.01355
raw_softmax,0.05,policy,4,40.443861,0.016467,0.002036,0.014431
raw_softmax,0.05,research,5,84430.074532,0.033192,0.022897,0.010295
raw_softmax,0.05,policy,5,88.774366,0.036146,0.011401,0.024745
raw_softmax,0.05,research,6,133355.794816,0.052426,0.040331,0.012095
raw_softmax,0.05,policy,6,46.582803,0.018967,0.003664,0.015303
raw_softmax,0.05,research,7,179585.303943,0.0706,0.08369,-0.01309
raw_softmax,0.05,policy,7,58.707308,0.023904,0.004072,0.019832
raw_softmax,0.05,research,8,85329.937141,0.033546,0.014762,0.018784
raw_softmax,0.05,policy,8,37.573367,0.015299,0.00285,0.012449
raw_softmax,0.05,research,9,211819.69046,0.083272,0.102461,-0.019189
raw_softmax,0.05,policy,9,77.13848,0.031408,0.023616,0.007792
raw_softmax,0.05,research,10,54632.011386,0.021477,0.009385,0.012092
raw_softmax,0.05,policy,10,27.928674,0.011372,0.0,0.011372
raw_softmax,0.05,research,11,141455.800354,0.05561,0.054506,0.001104
raw_softmax,0.05,policy,11,51.434144,0.020942,0.027687,-0.006745
raw_softmax,0.05,research,12,127699.02752,0.050202,0.037263,0.012939
raw_softmax,0.05,policy,12,53.62948,0.021836,0.002443,0.019393
raw_softmax,0.05,research,13,149000.715257,0.058576,0.052316,0.00626
raw_softmax,0.05,policy,13,580.288258,0.236274,0.354642,-0.118368
raw_softmax,0.05,research,14,120464.956477,0.047358,0.03884,0.008518
raw_softmax,0.05,policy,14,53.211517,0.021666,0.001221,0.020445
raw_softmax,0.05,research,15,181546.105433,0.071371,0.074239,-0.002868
raw_softmax,0.05,policy,15,83.14978,0.033856,0.008143,0.025713
