corpus,sdg,n_assigned,mean_cosine_to_assigned_centroid,median_cosine_to_assigned_centroid,std_cosine_to_assigned_centroid,mean_assignment_margin,median_assignment_margin,share_margin_gt_0_01,share_margin_gt_0_05,nearest_competing_sdg_centroid,mean_similarity_to_nearest_competing_centroid,separation_gap
research,1,17563,0.335413,0.369388,0.145994,0.024777,0.03494,0.571656,0.454592,10,0.310636,0.024777
research,2,86745,0.415739,0.405544,0.17096,0.036671,0.048972,0.617972,0.496397,15,0.379069,0.036671
research,3,454371,0.374511,0.369861,0.136125,0.040234,0.042908,0.619271,0.474269,17,0.334278,0.040234
research,4,352005,0.451435,0.472237,0.128201,0.140643,0.162719,0.801401,0.738722,8,0.310792,0.140643
research,5,58242,0.371031,0.391832,0.135338,0.048191,0.060523,0.645067,0.533533,16,0.32284,0.048191
research,6,102589,0.41013,0.41958,0.15522,0.019836,0.023104,0.571007,0.359824,15,0.390293,0.019836
research,7,212882,0.41126,0.414663,0.148708,0.073872,0.073941,0.721329,0.584535,6,0.337388,0.073872
research,8,37550,0.394655,0.421234,0.137818,0.055024,0.086264,0.702237,0.611638,9,0.339631,0.055024
research,9,260631,0.379249,0.383897,0.118459,0.018159,0.01976,0.537918,0.382341,8,0.36109,0.018159
research,10,23872,0.304806,0.3126,0.122295,0.030814,0.031758,0.577078,0.433311,17,0.273992,0.030814
research,11,138646,0.406702,0.420371,0.139446,0.048567,0.054081,0.677978,0.51687,15,0.358135,0.048567
research,12,94787,0.350752,0.348898,0.126517,0.018554,0.022678,0.548704,0.395023,6,0.332198,0.018554
research,13,133076,0.389853,0.408463,0.140945,-0.001269,0.009944,0.499699,0.348049,17,0.391122,-0.001269
research,14,98797,0.340016,0.339371,0.136556,-0.008685,-0.008512,0.408282,0.246789,6,0.348701,-0.008685
research,15,188842,0.406692,0.422282,0.154533,0.006988,0.015758,0.528384,0.330276,13,0.399704,0.006988
research,16,213730,0.35173,0.366124,0.121462,0.024993,0.033139,0.581785,0.437267,5,0.326737,0.024993
research,17,69370,0.343207,0.36162,0.134348,0.037015,0.036138,0.532449,0.483509,3,0.306192,0.037015
policy,1,2886,0.598721,0.637569,0.14073,0.042708,0.051495,0.727997,0.508316,10,0.556013,0.042708
policy,2,2155,0.624871,0.642583,0.10241,0.10911,0.108335,0.899304,0.774942,1,0.515761,0.10911
policy,3,3852,0.560428,0.571049,0.102432,0.105057,0.110262,0.850467,0.722222,1,0.455371,0.105057
policy,4,2941,0.611507,0.62862,0.102705,0.13719,0.143888,0.930976,0.83577,1,0.474316,0.13719
policy,5,3176,0.618099,0.638329,0.114429,0.123252,0.125103,0.871537,0.752834,16,0.494847,0.123252
policy,6,2014,0.664667,0.6796,0.094187,0.141874,0.154902,0.939424,0.825223,12,0.522793,0.141874
policy,7,2585,0.635798,0.650091,0.098905,0.124906,0.121055,0.953965,0.818569,12,0.510893,0.124906
policy,8,2564,0.582779,0.594337,0.094154,0.047427,0.046936,0.767551,0.478549,10,0.535351,0.047427
policy,9,4485,0.565532,0.577654,0.105131,0.101679,0.106073,0.802007,0.671572,17,0.463852,0.101679
policy,10,901,0.542706,0.564596,0.121979,0.078017,0.067325,0.864595,0.618202,8,0.464689,0.078017
policy,11,2871,0.564698,0.571685,0.105,0.08687,0.076809,0.887147,0.668757,12,0.477829,0.08687
policy,12,2395,0.573416,0.618595,0.172417,0.074254,0.067639,0.750313,0.582046,7,0.499162,0.074254
policy,13,5160,0.649556,0.664086,0.097411,0.073333,0.073594,0.837791,0.638178,17,0.576222,0.073333
policy,14,2078,0.644435,0.683069,0.133644,0.13981,0.144508,0.918672,0.8359,15,0.504625,0.13981
policy,15,2470,0.628527,0.649032,0.102913,0.102582,0.100418,0.85587,0.706478,14,0.525945,0.102582
policy,16,3809,0.532867,0.549999,0.112778,0.05135,0.049754,0.741139,0.498294,17,0.481517,0.05135
policy,17,7740,0.570936,0.592392,0.126547,0.026157,0.03177,0.654005,0.361499,13,0.54478,0.026157
