sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.526,4.3349,0.038089,-0.038089,0.37762,0.62238,1
2,2.718,4.4291,0.017111,-0.017111,0.305399,0.694601,1
3,28.022,4.8374,0.231846,0.231846,0.475686,0.524314,1
4,13.546,4.8689,0.086771,0.086771,0.288215,0.711785,1
5,3.27,4.8531,0.015831,-0.015831,0.481159,0.518841,1
6,1.622,3.6752,0.020532,-0.020532,0.296944,0.703056,1
7,4.466,4.2092,0.002568,0.002568,0.404053,0.595947,1
8,3.006,4.4605,0.014545,-0.014545,0.476785,0.523215,1
9,14.958,4.1778,0.107802,0.107802,0.325498,0.674502,1
10,2.328,2.9841,0.006561,-0.006561,0.464824,0.535176,1
11,3.718,5.1359,0.014179,-0.014179,0.359847,0.640153,1
12,1.81,3.5024,0.016924,-0.016924,0.329699,0.670301,1
13,5.266,10.9157,0.056497,-0.056497,0.499081,0.500919,1
14,1.372,3.5338,0.021618,-0.021618,0.302052,0.697948,1
15,4.528,4.3191,0.002089,0.002089,0.336992,0.663008,1
16,7.844,18.2661,0.104221,-0.104221,0.304456,0.695544,1
17,1.0,11.4968,0.104968,-0.104968,0.246382,0.753618,1
