,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,1.000000,0.693738,0.639987,0.636933,0.677212,0.519865,0.511272,0.801588,0.610049,0.918493,0.652162,0.498863,0.580947,0.397229,0.486793,0.539732,0.656658
SDG 2,0.693738,1.000000,0.548857,0.488213,0.467592,0.606853,0.605976,0.667526,0.635497,0.638583,0.584783,0.679529,0.630004,0.581492,0.658050,0.374777,0.632506
SDG 3,0.639987,0.548857,1.000000,0.468281,0.553129,0.452253,0.383222,0.584852,0.486475,0.606623,0.525182,0.443544,0.483379,0.377864,0.422909,0.443462,0.531274
SDG 4,0.636933,0.488213,0.468281,1.000000,0.552016,0.377070,0.374848,0.663767,0.557561,0.636481,0.493554,0.392293,0.448343,0.324572,0.359749,0.450062,0.538881
SDG 5,0.677212,0.467592,0.553129,0.552016,1.000000,0.376466,0.331868,0.664809,0.463607,0.722971,0.467640,0.351167,0.427222,0.305773,0.354875,0.590495,0.504701
SDG 6,0.519865,0.606853,0.452253,0.377070,0.376466,1.000000,0.635016,0.504077,0.579404,0.465204,0.659521,0.695715,0.693141,0.653673,0.668868,0.395035,0.606403
SDG 7,0.511272,0.605976,0.383222,0.374848,0.331868,0.635016,1.000000,0.593667,0.718267,0.503809,0.637674,0.739251,0.740045,0.518371,0.574773,0.301660,0.652227
SDG 8,0.801588,0.667526,0.584852,0.663767,0.664809,0.504077,0.593667,1.000000,0.776140,0.867098,0.662836,0.595607,0.593835,0.474422,0.497114,0.496047,0.707152
SDG 9,0.610049,0.635497,0.486475,0.557561,0.463607,0.579404,0.718267,0.776140,1.000000,0.647444,0.738097,0.694059,0.663876,0.535703,0.574606,0.451224,0.777245
SDG 10,0.918493,0.638583,0.606623,0.636481,0.722971,0.465204,0.503809,0.867098,0.647444,1.000000,0.633974,0.477493,0.547014,0.389585,0.453056,0.576335,0.638519
SDG 11,0.652162,0.584783,0.525182,0.493554,0.467640,0.659521,0.637674,0.662836,0.738097,0.633974,1.000000,0.703394,0.701837,0.499552,0.658496,0.509237,0.690320
SDG 12,0.498863,0.679529,0.443544,0.392293,0.351167,0.695715,0.739251,0.595607,0.694059,0.477493,0.703394,1.000000,0.735656,0.642282,0.705424,0.402869,0.696195
SDG 13,0.580947,0.630004,0.483379,0.448343,0.427222,0.693141,0.740045,0.593835,0.663876,0.547014,0.701837,0.735656,1.000000,0.651743,0.753101,0.513718,0.842695
SDG 14,0.397229,0.581492,0.377864,0.324572,0.305773,0.653673,0.518371,0.474422,0.535703,0.389585,0.499552,0.642282,0.651743,1.000000,0.709183,0.380889,0.611738
SDG 15,0.486793,0.658050,0.422909,0.359749,0.354875,0.668868,0.574773,0.497114,0.574606,0.453056,0.658496,0.705424,0.753101,0.709183,1.000000,0.438770,0.673792
SDG 16,0.539732,0.374777,0.443462,0.450062,0.590495,0.395035,0.301660,0.496047,0.451224,0.576335,0.509237,0.402869,0.513718,0.380889,0.438770,1.000000,0.651636
SDG 17,0.656658,0.632506,0.531274,0.538881,0.504701,0.606403,0.652227,0.707152,0.777245,0.638519,0.690320,0.696195,0.842695,0.611738,0.673792,0.651636,1.000000
