,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,326,9,11,5,20,2,1,24,1,25,4,1,8,1,1,3,31
SDG 2,1,342,6,3,4,3,3,1,12,3,7,10,4,1,13,2,1
SDG 3,5,7,748,7,28,3,1,2,5,7,10,0,4,2,5,9,5
SDG 4,2,0,10,653,8,0,0,16,11,10,2,2,3,0,2,10,5
SDG 5,7,2,25,8,703,1,0,12,7,13,2,0,3,1,4,26,2
SDG 6,3,9,4,0,2,463,17,0,5,1,6,4,12,4,15,5,2
SDG 7,4,4,4,1,1,6,510,5,11,0,11,11,21,1,8,1,3
SDG 8,17,11,5,15,22,0,1,254,22,24,6,5,2,4,1,1,8
SDG 9,2,2,7,16,4,2,13,16,379,4,20,17,12,5,3,5,19
SDG 10,40,4,7,19,23,1,2,40,19,218,5,1,3,0,0,28,13
SDG 11,4,7,6,2,2,7,9,6,12,8,336,10,18,0,8,6,10
SDG 12,1,16,5,0,1,8,22,4,3,0,5,230,12,4,9,2,8
SDG 13,5,6,1,2,2,4,24,2,11,0,6,6,457,8,18,2,10
SDG 14,0,5,1,2,2,7,1,1,3,1,3,2,8,273,11,1,6
SDG 15,2,6,8,0,9,14,4,1,4,0,6,3,12,6,468,0,2
SDG 16,3,1,10,6,21,1,2,2,3,10,6,2,4,2,4,696,25
SDG 17,10,2,6,9,2,2,3,6,13,6,7,4,15,0,3,22,425
