sdg,tn,fp,fn,tp,precision,recall
SDG 1,8780,85,141,332,0.7962,0.7019
SDG 2,8832,90,71,345,0.7931,0.8293
SDG 3,8396,94,91,757,0.8895,0.8927
SDG 4,8530,74,89,645,0.8971,0.8787
SDG 5,8403,119,110,706,0.8558,0.8652
SDG 6,8733,53,88,464,0.8975,0.8406
SDG 7,8650,86,98,504,0.8542,0.8372
SDG 8,8842,98,163,235,0.7057,0.5905
SDG 9,8680,132,125,401,0.7523,0.7624
SDG 10,8833,82,193,230,0.7372,0.5437
SDG 11,8805,82,108,343,0.8071,0.7605
SDG 12,8938,70,92,238,0.7727,0.7212
SDG 13,8659,115,114,450,0.7965,0.7979
SDG 14,8970,41,48,279,0.8719,0.8532
SDG 15,8700,93,80,465,0.8333,0.8532
SDG 16,8444,96,80,718,0.8821,0.8997
SDG 17,8683,120,109,426,0.7802,0.7963
