sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.333,4.4134,0.040804,-0.040804,0.222039,0.777961,1
2,2.33,4.4448,0.021148,-0.021148,0.297011,0.702989,1
3,26.911,4.9317,0.219793,0.219793,0.494811,0.505189,1
4,13.773,4.9003,0.088727,0.088727,0.291156,0.708844,1
5,3.319,5.0573,0.017383,-0.017383,0.470058,0.529942,1
6,1.422,3.6909,0.022689,-0.022689,0.298227,0.701773,1
7,5.294,4.3034,0.009906,0.009906,0.429729,0.570271,1
8,1.971,4.2249,0.022539,-0.022539,0.33559,0.66441,1
9,16.874,4.3506,0.125234,0.125234,0.349944,0.650056,1
10,1.801,2.8899,0.010889,-0.010889,0.485025,0.514975,1
11,3.679,5.3243,0.016453,-0.016453,0.397037,0.602963,1
12,1.936,3.5338,0.015978,-0.015978,0.391359,0.608641,1
13,5.632,10.7115,0.050795,-0.050795,0.540586,0.459414,1
14,1.372,3.6124,0.022404,-0.022404,0.329714,0.670286,1
15,4.132,4.2406,0.001086,-0.001086,0.345197,0.654803,1
16,8.655,19.8995,0.112445,-0.112445,0.321533,0.678467,1
17,0.566,9.4707,0.089047,-0.089047,0.241271,0.758729,1
