,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,344,10,7,5,14,2,2,20,5,26,7,3,6,0,3,4,15
SDG 2,3,350,4,2,4,4,4,4,10,3,5,6,4,1,11,0,1
SDG 3,3,7,777,9,18,3,0,2,3,0,7,0,5,2,0,10,2
SDG 4,3,2,11,661,9,0,1,16,11,6,3,1,1,0,1,7,1
SDG 5,9,2,15,8,733,2,0,10,5,10,0,0,0,1,2,17,2
SDG 6,2,9,2,0,1,471,15,0,4,0,9,5,11,4,15,1,3
SDG 7,2,5,4,0,0,6,525,5,9,1,5,8,18,1,6,3,4
SDG 8,9,6,4,10,24,0,2,287,17,19,9,1,1,3,0,1,5
SDG 9,2,2,6,15,4,2,9,15,408,2,16,5,11,2,4,3,20
SDG 10,47,3,7,22,19,1,2,38,11,226,7,0,0,0,1,22,17
SDG 11,5,6,7,2,1,7,11,4,13,6,348,9,13,1,5,4,9
SDG 12,0,15,4,0,1,7,17,1,8,1,6,245,7,5,6,0,7
SDG 13,4,5,2,1,2,5,14,1,7,0,6,2,480,6,16,3,10
SDG 14,0,3,1,0,1,6,0,0,2,1,2,5,8,290,5,2,1
SDG 15,1,7,5,4,7,12,2,2,3,0,8,2,8,5,472,0,7
SDG 16,4,1,11,9,17,0,1,2,2,9,8,2,4,0,2,708,18
SDG 17,10,0,6,9,1,1,6,6,15,5,3,4,11,0,2,22,434
