sdg,tn,fp,fn,tp,precision,recall
SDG 1,8794,71,134,339,0.8268,0.7167
SDG 2,8850,72,69,347,0.8282,0.8341
SDG 3,8402,88,59,789,0.8997,0.9304
SDG 4,8545,59,78,656,0.9175,0.8937
SDG 5,8411,111,86,730,0.8680,0.8946
SDG 6,8729,57,73,479,0.8937,0.8678
SDG 7,8658,78,76,526,0.8709,0.8738
SDG 8,8860,80,128,270,0.7714,0.6784
SDG 9,8716,96,110,416,0.8125,0.7909
SDG 10,8830,85,172,251,0.7470,0.5934
SDG 11,8803,84,96,355,0.8087,0.7871
SDG 12,8950,58,73,257,0.8159,0.7788
SDG 13,8701,73,95,469,0.8653,0.8316
SDG 14,8984,27,37,290,0.9148,0.8869
SDG 15,8735,58,70,475,0.8912,0.8716
SDG 16,8425,115,69,729,0.8637,0.9135
SDG 17,8709,94,103,432,0.8213,0.8075
