sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.5884,4.7432,0.041548,-0.041548,0.446545,0.553455,1
2,2.5324,4.2563,0.017239,-0.017239,0.277867,0.722133,1
3,26.008,4.6961,0.213119,0.213119,0.469751,0.530249,1
4,14.6468,4.7275,0.099193,0.099193,0.262022,0.737978,1
5,2.3673,5.1359,0.027686,-0.027686,0.311586,0.688414,1
6,1.0986,3.738,0.026394,-0.026394,0.280019,0.719981,1
7,3.6559,4.2092,0.005533,-0.005533,0.418057,0.581943,1
8,2.3641,4.3977,0.020335,-0.020336,0.422354,0.577646,1
9,18.5403,4.3191,0.142212,0.142212,0.291493,0.708507,1
10,1.2382,2.9684,0.017303,-0.017302,0.296412,0.703588,1
11,4.9107,5.183,0.002723,-0.002723,0.464477,0.535523,1
12,2.2271,3.5967,0.013695,-0.013696,0.434153,0.565847,1
13,4.1942,11.2926,0.070984,-0.070984,0.480793,0.519207,1
14,1.8532,3.7223,0.018692,-0.018691,0.368269,0.631731,1
15,2.397,4.0993,0.017022,-0.017023,0.220789,0.779211,1
16,10.9065,17.4808,0.065742,-0.065743,0.330969,0.669031,1
17,0.4713,11.434,0.109626,-0.109627,0.215743,0.784257,1
