,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,1.000000,0.732450,0.653505,0.654515,0.748819,0.591806,0.497736,0.807896,0.652507,0.930910,0.673554,0.544516,0.598910,0.454120,0.499575,0.620960,0.752526
SDG 2,0.732450,1.000000,0.557872,0.494089,0.531821,0.630515,0.555662,0.656164,0.633942,0.645164,0.585430,0.659905,0.646287,0.561482,0.653985,0.453119,0.676655
SDG 3,0.653505,0.557872,1.000000,0.536027,0.620811,0.514012,0.375859,0.609124,0.534304,0.622616,0.561545,0.470026,0.473933,0.371651,0.412489,0.532676,0.578698
SDG 4,0.654515,0.494089,0.536027,1.000000,0.630437,0.449872,0.382719,0.692682,0.594651,0.681104,0.552697,0.423130,0.453904,0.368466,0.393634,0.543020,0.578964
SDG 5,0.748819,0.531821,0.620811,0.630437,1.000000,0.447745,0.369960,0.735676,0.531737,0.788767,0.538734,0.418924,0.471760,0.378541,0.378723,0.677431,0.616298
SDG 6,0.591806,0.630515,0.514012,0.449872,0.447745,1.000000,0.621086,0.544596,0.608069,0.537060,0.681803,0.711030,0.713302,0.637981,0.653217,0.491054,0.673779
SDG 7,0.497736,0.555662,0.375859,0.382719,0.369960,0.621086,1.000000,0.564442,0.704384,0.485774,0.624143,0.736592,0.750205,0.501326,0.527004,0.374171,0.653395
SDG 8,0.807896,0.656164,0.609124,0.692682,0.735676,0.544596,0.564442,1.000000,0.801946,0.861681,0.690983,0.606025,0.586584,0.520526,0.491641,0.595796,0.740607
SDG 9,0.652507,0.633942,0.534304,0.594651,0.531737,0.608069,0.704384,0.801946,1.000000,0.681821,0.744425,0.685720,0.661248,0.538052,0.539025,0.551969,0.788475
SDG 10,0.930910,0.645164,0.622616,0.681104,0.788767,0.537060,0.485774,0.861681,0.681821,1.000000,0.675496,0.514187,0.562597,0.452058,0.460548,0.679940,0.729555
SDG 11,0.673554,0.585430,0.561545,0.552697,0.538734,0.681803,0.624143,0.690983,0.744425,0.675496,1.000000,0.724090,0.689422,0.526030,0.626125,0.572872,0.709079
SDG 12,0.544516,0.659905,0.470026,0.423130,0.418924,0.711030,0.736592,0.606025,0.685720,0.514187,0.724090,1.000000,0.739440,0.661594,0.680383,0.455196,0.701947
SDG 13,0.598910,0.646287,0.473933,0.453904,0.471760,0.713302,0.750205,0.586584,0.661248,0.562597,0.689422,0.739440,1.000000,0.667018,0.736512,0.529133,0.821184
SDG 14,0.454120,0.561482,0.371651,0.368466,0.378541,0.637981,0.501326,0.520526,0.538052,0.452058,0.526030,0.661594,0.667018,1.000000,0.704831,0.447518,0.625470
SDG 15,0.499575,0.653985,0.412489,0.393634,0.378723,0.653217,0.527004,0.491641,0.539025,0.460548,0.626125,0.680383,0.736512,0.704831,1.000000,0.447616,0.642598
SDG 16,0.620960,0.453119,0.532676,0.543020,0.677431,0.491054,0.374171,0.595796,0.551969,0.679940,0.572872,0.455196,0.529133,0.447518,0.447616,1.000000,0.698259
SDG 17,0.752526,0.676655,0.578698,0.578964,0.616298,0.673779,0.653395,0.740607,0.788475,0.729555,0.709079,0.701947,0.821184,0.625470,0.642598,0.698259,1.000000
