,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,340,8,10,4,16,2,1,19,6,25,7,2,7,0,3,4,19
SDG 2,4,351,4,2,3,4,4,4,9,2,6,5,3,2,10,2,1
SDG 3,4,4,783,7,18,2,0,3,3,0,7,0,5,2,0,8,2
SDG 4,2,2,13,660,7,0,1,15,11,10,3,1,0,0,1,7,1
SDG 5,8,2,17,8,733,2,0,10,5,11,0,0,0,1,2,15,2
SDG 6,2,10,2,0,0,472,15,0,3,0,7,6,12,3,15,2,3
SDG 7,2,4,4,1,0,4,525,4,8,0,7,9,20,0,7,3,4
SDG 8,11,6,4,10,23,0,1,290,17,16,8,1,1,4,0,1,5
SDG 9,1,4,7,17,3,1,13,13,401,2,17,7,11,2,3,4,20
SDG 10,49,3,7,17,17,1,3,39,9,224,10,0,0,0,0,26,18
SDG 11,6,5,7,2,0,7,11,4,13,6,342,14,13,1,5,5,10
SDG 12,0,15,4,0,0,5,18,2,5,1,4,252,6,5,6,0,7
SDG 13,4,6,1,1,1,4,16,1,6,0,9,3,478,7,15,3,9
SDG 14,0,3,0,0,1,6,0,0,2,1,1,4,8,290,7,2,2
SDG 15,3,6,5,3,7,11,2,0,2,0,9,2,7,6,475,0,7
SDG 16,4,1,12,9,18,0,1,2,1,8,7,2,4,0,2,708,19
SDG 17,10,0,7,9,1,1,6,6,14,5,3,6,11,0,2,22,432
