sdg,tn,fp,fn,tp,precision,recall
SDG 1,8769,96,117,356,0.7876,0.7526
SDG 2,8845,77,69,347,0.8184,0.8341
SDG 3,8415,75,76,772,0.9115,0.9104
SDG 4,8535,69,66,668,0.9064,0.9101
SDG 5,8417,105,86,730,0.8743,0.8946
SDG 6,8746,40,84,468,0.9213,0.8478
SDG 7,8661,75,84,518,0.8735,0.8605
SDG 8,8838,102,111,287,0.7378,0.7211
SDG 9,8716,96,119,407,0.8091,0.7738
SDG 10,8845,70,190,233,0.7690,0.5508
SDG 11,8811,76,111,340,0.8173,0.7539
SDG 12,8964,44,89,241,0.8456,0.7303
SDG 13,8692,82,86,478,0.8536,0.8475
SDG 14,8977,34,33,294,0.8963,0.8991
SDG 15,8727,66,75,470,0.8769,0.8624
SDG 16,8456,84,79,719,0.8954,0.9010
SDG 17,8709,94,98,437,0.8230,0.8168
