sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.3905,4.5233,0.041328,-0.041328,0.415427,0.584573,1
2,2.437,4.3034,0.018664,-0.018664,0.2992,0.7008,1
3,25.7165,4.6804,0.210361,0.210361,0.494083,0.505917,1
4,15.5967,4.7903,0.108064,0.108064,0.266662,0.733338,1
5,1.9538,5.0887,0.03135,-0.031349,0.277769,0.722231,1
6,1.0432,3.738,0.026948,-0.026948,0.29183,0.70817,1
7,4.0543,4.2877,0.002334,-0.002334,0.427514,0.572486,1
8,2.2355,4.3349,0.020993,-0.020994,0.387394,0.612606,1
9,20.1038,4.3034,0.158003,0.158004,0.313629,0.686371,1
10,0.8988,2.8585,0.019597,-0.019597,0.271109,0.728891,1
11,5.1409,5.3086,0.001678,-0.001677,0.448727,0.551273,1
12,1.4937,3.5496,0.020558,-0.020559,0.295741,0.704259,1
13,3.7046,11.2769,0.075723,-0.075723,0.479658,0.520342,1
14,1.5987,3.7851,0.021864,-0.021864,0.358251,0.641749,1
15,2.1943,4.1778,0.019835,-0.019835,0.239195,0.760805,1
16,11.1677,17.2766,0.061089,-0.061089,0.329147,0.670853,1
17,0.27,11.7167,0.114467,-0.114467,0.17689,0.82311,1
