,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,1.000000,0.991133,0.989095,0.986004,0.990867,0.983251,0.980162,0.993141,0.984330,0.997068,0.986805,0.980646,0.982509,0.974466,0.979910,0.975161,0.972692
SDG 2,0.991133,1.000000,0.986647,0.982948,0.985317,0.990445,0.987614,0.990280,0.989461,0.989202,0.988754,0.989294,0.986667,0.984740,0.988741,0.970993,0.971271
SDG 3,0.989095,0.986647,0.999999,0.985778,0.986863,0.982943,0.975937,0.985741,0.981807,0.986704,0.985072,0.981305,0.980176,0.975904,0.979598,0.974441,0.968893
SDG 4,0.986004,0.982948,0.985778,1.000000,0.989697,0.979404,0.974505,0.988189,0.986121,0.987683,0.986069,0.979594,0.975866,0.972959,0.976122,0.976240,0.967687
SDG 5,0.990867,0.985317,0.986863,0.989697,1.000000,0.978919,0.973440,0.989629,0.983022,0.993259,0.984578,0.978386,0.975486,0.972124,0.977280,0.984457,0.966938
SDG 6,0.983251,0.990445,0.982943,0.979404,0.978919,1.000000,0.988689,0.982010,0.987063,0.982110,0.992298,0.992321,0.988128,0.990171,0.991481,0.972156,0.969510
SDG 7,0.980162,0.987614,0.975937,0.974505,0.973440,0.988689,1.000000,0.983099,0.991416,0.980872,0.987603,0.989859,0.984975,0.980147,0.982114,0.963187,0.963536
SDG 8,0.993141,0.990280,0.985741,0.988189,0.989629,0.982010,0.983099,0.999999,0.990443,0.994503,0.988540,0.984614,0.981461,0.976821,0.980329,0.973853,0.974512
SDG 9,0.984330,0.989461,0.981807,0.986121,0.983022,0.987063,0.991416,0.990443,1.000000,0.986652,0.992175,0.989857,0.984917,0.981405,0.983364,0.973299,0.972556
SDG 10,0.997068,0.989202,0.986704,0.987683,0.993259,0.982110,0.980872,0.994503,0.986652,1.000000,0.987005,0.980746,0.979999,0.973801,0.979747,0.980363,0.969203
SDG 11,0.986805,0.988754,0.985072,0.986069,0.984578,0.992298,0.987603,0.988540,0.992175,0.987005,1.000000,0.992555,0.986364,0.984074,0.988309,0.977043,0.973082
SDG 12,0.980646,0.989294,0.981305,0.979594,0.978386,0.992321,0.989859,0.984614,0.989857,0.980746,0.992555,1.000000,0.989431,0.988105,0.989339,0.973180,0.975158
SDG 13,0.982509,0.986667,0.980176,0.975866,0.975486,0.988128,0.984975,0.981461,0.984917,0.979999,0.986364,0.989431,1.000000,0.988209,0.989116,0.974949,0.987876
SDG 14,0.974466,0.984740,0.975904,0.972959,0.972124,0.990171,0.980147,0.976821,0.981405,0.973801,0.984074,0.988105,0.988209,1.000000,0.993873,0.971263,0.973455
SDG 15,0.979910,0.988741,0.979598,0.976122,0.977280,0.991481,0.982114,0.980329,0.983364,0.979747,0.988309,0.989339,0.989116,0.993873,1.000000,0.974396,0.972108
SDG 16,0.975161,0.970993,0.974441,0.976240,0.984457,0.972156,0.963187,0.973853,0.973299,0.980363,0.977043,0.973180,0.974949,0.971263,0.974396,1.000000,0.971412
SDG 17,0.972692,0.971271,0.968893,0.967687,0.966938,0.969510,0.963536,0.974512,0.972556,0.969203,0.973082,0.975158,0.987876,0.973455,0.972108,0.971412,1.000000
