,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,303,13,11,4,18,1,1,20,7,37,7,0,6,0,3,5,37
SDG 2,3,321,4,5,7,8,3,4,14,5,5,5,7,2,14,2,7
SDG 3,7,9,746,13,23,2,0,2,6,5,10,2,5,2,3,13,0
SDG 4,7,3,14,650,12,0,2,15,13,4,2,0,3,0,0,8,1
SDG 5,14,3,18,16,690,2,0,10,5,23,0,0,2,0,2,24,7
SDG 6,3,9,4,0,0,451,19,1,3,0,11,7,13,3,16,4,8
SDG 7,2,7,7,2,1,6,486,4,20,0,13,12,21,1,8,2,10
SDG 8,12,9,5,11,23,0,4,262,22,22,9,2,4,3,0,2,8
SDG 9,1,5,6,19,6,2,10,21,379,3,18,19,10,1,7,5,14
SDG 10,49,6,7,15,24,1,2,35,9,209,10,0,2,0,3,34,17
SDG 11,7,4,8,2,3,8,13,7,17,9,310,14,16,0,8,15,10
SDG 12,0,20,3,0,1,10,20,4,10,0,10,214,15,3,10,1,9
SDG 13,6,12,2,1,2,11,23,0,11,1,11,9,442,5,16,4,8
SDG 14,0,3,0,2,2,6,0,1,2,1,2,5,6,274,14,3,6
SDG 15,5,8,3,0,8,17,5,1,4,0,8,8,16,8,444,2,8
SDG 16,7,0,10,8,18,0,1,2,2,13,8,0,7,1,1,695,25
SDG 17,13,1,2,6,6,2,5,4,6,1,9,2,11,2,4,30,431
