sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.346,5.2144,0.048684,-0.048684,0.046456,0.953544,1
2,1.454,3.8637,0.024097,-0.024097,0.042271,0.957729,1
3,28.444,4.7275,0.237165,0.237165,0.055139,0.944861,1
4,17.392,4.8374,0.125546,0.125546,0.043796,0.956204,1
5,1.88,5.1516,0.032716,-0.032716,0.051264,0.948736,1
6,1.132,3.6438,0.025118,-0.025118,0.043339,0.956661,1
7,2.92,4.2249,0.013049,-0.013049,0.049559,0.950441,1
8,1.036,4.5076,0.034716,-0.034716,0.035365,0.964635,1
9,18.414,3.9579,0.144561,0.144561,0.042278,0.957722,1
10,1.16,2.6857,0.015257,-0.015257,0.054872,0.945128,1
11,4.208,5.6856,0.014776,-0.014776,0.049314,0.950686,1
12,1.286,3.581,0.02295,-0.02295,0.039619,0.960381,1
13,4.63,9.1566,0.045266,-0.045266,0.051307,0.948693,1
14,1.104,3.7851,0.026811,-0.026811,0.043656,0.956344,1
15,3.49,4.0521,0.005621,-0.005621,0.044683,0.955317,1
16,10.688,19.5697,0.088817,-0.088817,0.041165,0.958835,1
17,0.416,11.3554,0.109394,-0.109394,0.036903,0.963097,1
