,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
SDG 1,295,12,15,4,20,2,1,22,6,37,8,0,7,0,2,5,37
SDG 2,5,316,6,6,6,6,4,4,12,6,5,5,8,2,15,2,8
SDG 3,11,6,748,12,23,2,0,2,6,5,9,2,5,2,2,13,0
SDG 4,7,2,15,646,15,0,2,14,13,3,2,0,4,0,0,9,2
SDG 5,16,2,21,16,688,2,0,12,4,18,1,0,2,0,2,24,8
SDG 6,5,8,5,0,1,442,23,1,3,0,10,7,15,3,14,5,10
SDG 7,2,6,5,2,0,6,491,5,19,0,13,10,20,2,8,3,10
SDG 8,14,9,6,14,26,0,3,256,22,18,9,0,4,3,0,1,13
SDG 9,1,7,8,19,5,2,10,18,382,2,19,18,10,1,6,5,13
SDG 10,49,4,9,17,28,1,2,37,9,194,10,1,1,0,3,38,20
SDG 11,10,3,8,2,4,8,12,6,15,6,308,13,16,1,8,16,15
SDG 12,0,20,4,0,3,12,23,3,9,0,8,208,15,3,11,3,8
SDG 13,7,11,2,1,4,10,24,2,12,0,9,9,437,6,17,4,9
SDG 14,0,3,0,2,2,5,0,1,2,1,1,5,8,271,14,4,8
SDG 15,5,8,3,0,7,15,6,1,3,1,9,7,19,8,443,2,8
SDG 16,9,0,10,8,18,0,1,2,2,10,9,0,9,1,1,693,25
SDG 17,10,1,2,7,4,2,5,4,9,0,6,0,12,1,4,31,437
