sdg,tn,fp,fn,tp,precision,recall
SDG 1,8796,69,182,291,0.8083,0.6152
SDG 2,8848,74,102,314,0.8093,0.7548
SDG 3,8406,84,84,764,0.9009,0.9009
SDG 4,8526,78,93,641,0.8915,0.8733
SDG 5,8375,147,95,721,0.8306,0.8836
SDG 6,8726,60,103,449,0.8821,0.8134
SDG 7,8671,65,132,470,0.8785,0.7807
SDG 8,8866,74,170,228,0.7550,0.5729
SDG 9,8729,83,137,389,0.8242,0.7395
SDG 10,8796,119,187,236,0.6648,0.5579
SDG 11,8804,83,139,312,0.7899,0.6918
SDG 12,8951,57,123,207,0.7841,0.6273
SDG 13,8670,104,123,441,0.8092,0.7819
SDG 14,8974,37,45,282,0.8840,0.8624
SDG 15,8720,73,110,435,0.8563,0.7982
SDG 16,8446,94,85,713,0.8835,0.8935
SDG 17,8687,116,111,424,0.7852,0.7925
