sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.145,5.2615,0.051165,-0.051165,0.032365,0.967635,1
2,1.305,3.9265,0.026215,-0.026215,0.037101,0.962899,1
3,27.042,4.7903,0.222517,0.222517,0.055831,0.944169,1
4,17.737,4.9003,0.128367,0.128367,0.043684,0.956316,1
5,1.503,5.3557,0.038527,-0.038527,0.040972,0.959028,1
6,1.114,3.6281,0.025141,-0.025141,0.045409,0.954591,1
7,3.531,4.1778,0.006468,-0.006468,0.05242,0.94758,1
8,0.75,4.4919,0.037419,-0.037419,0.033358,0.966642,1
9,21.402,3.8166,0.175854,0.175854,0.044672,0.955328,1
10,0.804,2.4344,0.016304,-0.016304,0.046766,0.953234,1
11,4.068,5.9054,0.018374,-0.018374,0.052486,0.947514,1
12,1.055,3.5181,0.024631,-0.024631,0.038666,0.961334,1
13,4.04,9.9419,0.059019,-0.059019,0.053255,0.946745,1
14,0.943,3.7223,0.027793,-0.027793,0.044271,0.955729,1
15,2.774,4.0993,0.013253,-0.013253,0.044057,0.955943,1
16,11.589,20.7005,0.091115,-0.091115,0.040419,0.959581,1
17,0.198,9.3294,0.091314,-0.091314,0.022791,0.977209,1
