family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,11804,2970,2214,351,351,50,0.747385,0.252615,0.628618,False
full_policy_corpus,2,83441,2119,2020,347,347,50,0.675882,0.324118,0.634566,False
full_policy_corpus,3,470627,3893,3506,391,391,50,0.575701,0.424299,0.567966,False
full_policy_corpus,4,355720,3009,2994,366,366,50,0.71297,0.28703,0.608436,False
full_policy_corpus,5,53741,3107,3066,499,499,50,0.750962,0.249038,0.626256,False
full_policy_corpus,6,90715,1992,1941,302,302,50,0.509078,0.490922,0.667607,False
full_policy_corpus,7,198743,2563,2343,367,367,50,0.5028,0.4972,0.647437,False
full_policy_corpus,8,41898,2623,2415,312,312,50,0.731727,0.268273,0.578798,False
full_policy_corpus,9,247370,4601,3626,408,408,50,0.766287,0.233713,0.563143,False
full_policy_corpus,10,20323,852,732,208,208,50,0.566981,0.433019,0.571019,False
full_policy_corpus,11,136616,2797,2735,297,297,50,0.553734,0.446266,0.567184,False
full_policy_corpus,12,90960,2283,1951,286,286,50,0.575345,0.424655,0.625651,False
full_policy_corpus,13,110645,4972,4530,1503,1503,50,0.471234,0.528766,0.65678,False
full_policy_corpus,14,99162,2058,1675,343,343,50,0.51423,0.48577,0.656704,False
full_policy_corpus,15,175447,2395,2156,353,353,50,0.535237,0.464763,0.631151,False
full_policy_corpus,16,189046,3769,3408,1183,1183,50,0.676422,0.323578,0.543483,False
full_policy_corpus,17,167440,8079,6651,1709,1709,50,0.329209,0.670791,0.592785,False
curated_ai_sdg,1,11804,1158,402,26,26,50,0.687885,0.312115,0.604562,False
curated_ai_sdg,2,83441,360,261,35,35,50,0.606679,0.393321,0.631815,False
curated_ai_sdg,3,470627,1127,740,53,53,50,0.67966,0.32034,0.541167,False
curated_ai_sdg,4,355720,391,376,52,52,50,0.713104,0.286896,0.567,False
curated_ai_sdg,5,53741,364,323,38,38,50,0.746278,0.253722,0.585282,False
curated_ai_sdg,6,90715,231,180,30,30,50,0.469156,0.530844,0.681687,False
curated_ai_sdg,7,198743,617,397,40,40,50,0.478504,0.521496,0.634406,False
curated_ai_sdg,8,41898,653,445,44,44,50,0.713592,0.286408,0.580803,False
curated_ai_sdg,9,247370,2907,1932,90,90,50,0.794785,0.205215,0.612701,False
curated_ai_sdg,10,20323,387,267,30,30,50,0.572497,0.427503,0.569611,False
curated_ai_sdg,11,136616,283,264,38,38,50,0.558744,0.441256,0.601987,False
curated_ai_sdg,12,90960,605,273,33,33,50,0.526772,0.473228,0.582665,False
curated_ai_sdg,13,110645,1227,785,54,54,50,0.521927,0.478073,0.612725,False
curated_ai_sdg,14,99162,621,238,26,26,50,0.532763,0.467237,0.675634,False
curated_ai_sdg,15,175447,573,334,33,33,50,0.493378,0.506622,0.657582,False
curated_ai_sdg,16,189046,1101,740,75,75,50,0.727142,0.272858,0.557959,False
curated_ai_sdg,17,167440,3034,1609,92,92,50,0.408848,0.591152,0.591671,False
sdgi_vnr_vlr,1,11804,1719,1719,240,240,50,0.747481,0.252519,0.649462,False
sdgi_vnr_vlr,2,83441,1665,1665,224,224,50,0.680746,0.319254,0.645603,False
sdgi_vnr_vlr,3,470627,2699,2699,274,274,50,0.536993,0.463007,0.58902,False
sdgi_vnr_vlr,4,355720,2556,2556,255,255,50,0.701806,0.298194,0.6254,False
sdgi_vnr_vlr,5,53741,2532,2532,263,263,50,0.743438,0.256562,0.637847,False
sdgi_vnr_vlr,6,90715,1727,1727,241,241,50,0.5108,0.4892,0.672139,False
sdgi_vnr_vlr,7,198743,1859,1859,244,244,50,0.505627,0.494373,0.659595,False
sdgi_vnr_vlr,8,41898,1953,1953,251,251,50,0.724414,0.275586,0.58853,False
sdgi_vnr_vlr,9,247370,1625,1625,253,253,50,0.631569,0.368431,0.581785,False
sdgi_vnr_vlr,10,20323,447,447,161,161,50,0.522079,0.477921,0.619156,False
sdgi_vnr_vlr,11,136616,2507,2464,252,252,50,0.544998,0.455002,0.572481,False
sdgi_vnr_vlr,12,90960,1665,1665,240,240,50,0.570724,0.429276,0.647365,False
sdgi_vnr_vlr,13,110645,1781,1781,255,255,50,0.489507,0.510493,0.664649,False
sdgi_vnr_vlr,14,99162,1275,1275,182,182,50,0.507216,0.492784,0.663444,False
sdgi_vnr_vlr,15,175447,1730,1730,238,238,50,0.539063,0.460937,0.636952,False
sdgi_vnr_vlr,16,189046,1481,1481,219,219,50,0.622419,0.377581,0.59137,False
sdgi_vnr_vlr,17,167440,2750,2747,277,277,50,0.302562,0.697438,0.597496,False
ungdc_speeches,1,11804,93,93,85,85,50,0.596605,0.403395,0.69378,False
ungdc_speeches,2,83441,94,94,88,88,50,0.523186,0.476814,0.702844,False
ungdc_speeches,3,470627,67,67,64,64,50,0.431553,0.568447,0.70953,False
ungdc_speeches,4,355720,62,62,59,59,50,0.551546,0.448454,0.728298,False
ungdc_speeches,5,53741,211,211,198,198,50,0.657191,0.342809,0.722363,False
ungdc_speeches,6,90715,34,34,31,31,50,0.381383,0.618617,0.707991,False
ungdc_speeches,7,198743,87,87,83,83,50,0.362655,0.637345,0.703954,False
ungdc_speeches,8,41898,17,17,17,17,50,0.528327,0.471673,0.63821,False
ungdc_speeches,9,247370,69,69,65,65,50,0.604676,0.395324,0.642814,False
ungdc_speeches,10,20323,18,18,17,17,50,0.432786,0.567214,0.696879,False
ungdc_speeches,11,136616,7,7,7,7,50,0.319706,0.680294,0.71238,True
ungdc_speeches,12,90960,13,13,13,13,50,0.37521,0.62479,0.684312,False
