corpus,sdg,n_assigned,mean_cosine_to_assigned_centroid,median_cosine_to_assigned_centroid,std_cosine_to_assigned_centroid,mean_assignment_margin,median_assignment_margin,share_margin_gt_0_01,share_margin_gt_0_05,nearest_competing_sdg_centroid,mean_similarity_to_nearest_competing_centroid,separation_gap
research,1,11804,0.330808,0.360745,0.152222,0.021737,0.019864,0.534056,0.409776,10,0.309071,0.021737
research,2,83441,0.41624,0.40827,0.168299,0.043119,0.05221,0.64696,0.508335,15,0.373122,0.043119
research,3,470627,0.366937,0.361125,0.133373,0.049032,0.049233,0.647336,0.497035,17,0.317904,0.049032
research,4,355720,0.451995,0.471441,0.125911,0.143498,0.162968,0.803882,0.738676,8,0.308497,0.143498
research,5,53741,0.381674,0.404623,0.140048,0.066621,0.077665,0.696098,0.587373,16,0.315053,0.066621
research,6,90715,0.413092,0.419378,0.155741,0.022975,0.019728,0.552775,0.350052,13,0.390118,0.022975
research,7,198743,0.420829,0.422451,0.145661,0.078127,0.074903,0.73036,0.590537,12,0.342702,0.078127
research,8,41898,0.403975,0.428033,0.13113,0.069445,0.091253,0.733448,0.634875,9,0.33453,0.069445
research,9,247370,0.383904,0.388078,0.118335,0.017031,0.016854,0.526745,0.370825,8,0.366873,0.017031
research,10,20323,0.316985,0.327903,0.120493,0.04103,0.042414,0.611032,0.475127,1,0.275955,0.04103
research,11,136616,0.412236,0.424685,0.134494,0.050335,0.052363,0.673545,0.510321,15,0.361901,0.050335
research,12,90960,0.363293,0.363945,0.122106,0.032796,0.034946,0.593019,0.443569,7,0.330497,0.032796
research,13,110645,0.405312,0.420341,0.146341,0.000193,0.002876,0.459867,0.261431,17,0.40512,0.000193
research,14,99162,0.350895,0.349931,0.140125,0.00579,-0.000187,0.444374,0.270275,17,0.345106,0.005789
research,15,175447,0.414844,0.430164,0.154754,0.015531,0.019005,0.547031,0.342383,13,0.399313,0.015531
research,16,189046,0.362668,0.3727,0.114912,0.036354,0.042262,0.621441,0.469008,5,0.326314,0.036354
research,17,167440,0.344684,0.354997,0.132247,0.010277,0.030703,0.592033,0.399821,13,0.334406,0.010277
policy,1,2970,0.584542,0.63456,0.155635,0.035034,0.045521,0.691919,0.472054,10,0.549508,0.035034
policy,2,2119,0.630174,0.645532,0.095558,0.112118,0.111551,0.91411,0.790939,1,0.518057,0.112118
policy,3,3893,0.55789,0.56958,0.106096,0.104987,0.108587,0.851015,0.710763,1,0.452903,0.104987
policy,4,3009,0.606865,0.625674,0.107022,0.135312,0.14326,0.91891,0.824859,1,0.471554,0.135312
policy,5,3107,0.622685,0.641171,0.110131,0.125933,0.12836,0.887029,0.766978,16,0.496753,0.125932
policy,6,1992,0.66525,0.680566,0.095413,0.143197,0.156002,0.944277,0.835341,12,0.522052,0.143198
policy,7,2563,0.636968,0.651732,0.098846,0.125724,0.122373,0.959813,0.828326,12,0.511244,0.125724
policy,8,2623,0.579401,0.592955,0.097177,0.047924,0.047999,0.758292,0.48761,10,0.531477,0.047924
policy,9,4601,0.563603,0.576162,0.106276,0.101078,0.10566,0.796131,0.663986,17,0.462525,0.101078
policy,10,852,0.554864,0.582254,0.124038,0.057784,0.053471,0.840376,0.526995,1,0.49708,0.057784
policy,11,2797,0.565386,0.572438,0.105798,0.089069,0.079223,0.892027,0.68359,12,0.476317,0.089069
policy,12,2283,0.584588,0.625015,0.164048,0.082921,0.07447,0.790188,0.612352,7,0.501667,0.082921
policy,13,4972,0.650747,0.6659,0.097658,0.075166,0.075291,0.850563,0.651448,17,0.575581,0.075166
policy,14,2058,0.645854,0.683759,0.132776,0.14298,0.145829,0.924684,0.841108,15,0.502874,0.14298
policy,15,2395,0.630975,0.651366,0.10242,0.106153,0.103899,0.874322,0.724426,14,0.524821,0.106153
policy,16,3769,0.527136,0.547756,0.119446,0.050721,0.049322,0.734412,0.495622,17,0.476415,0.050721
policy,17,8079,0.57524,0.594474,0.119931,0.0266,0.030645,0.644882,0.355118,13,0.548639,0.0266
