tier_label,sample_size,n_draws,deterministic,macro_coverage_variance,mean_semantic_gap,std_semantic_gap,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.006801,0.458053,0.014556,0.327508,0.005094,16.99,15.34
2k,2000,100,False,0.004918,0.433818,0.0116,0.327446,0.003408,17.0,16.37
5k,5000,100,False,0.003036,0.417532,0.007996,0.32834,0.001935,17.0,17.0
10k,10000,100,False,0.002132,0.410006,0.005359,0.328191,0.001358,17.0,17.0
20k,20000,100,False,0.001503,0.404905,0.003971,0.328223,0.001055,17.0,17.0
50k,50000,100,False,0.000952,0.401659,0.00226,0.327969,0.000658,17.0,17.0
100k,100000,100,False,0.000675,0.400908,0.001895,0.327981,0.00047,17.0,17.0
200k,200000,100,False,0.000453,0.400525,0.001229,0.327989,0.00034,17.0,17.0
500k,500000,100,False,0.000271,0.400243,0.000716,0.32802,0.000206,17.0,17.0
1m,1000000,100,False,0.000168,0.400095,0.000404,0.32801,0.000122,17.0,17.0
2m,2000000,100,False,7e-05,0.400101,0.000199,0.328018,4.8e-05,17.0,17.0
full corpus,2543698,1,True,,0.400123,,0.328025,,,
