sdg,combined_n,combined_f1,combined_cosine,combined_coverage,combined_gap,osdg_n,osdg_f1,osdg_cosine,osdg_coverage,osdg_gap,sdgi_n,sdgi_f1,sdgi_cosine,sdgi_coverage,sdgi_gap,knowledgehub_n,knowledgehub_f1,knowledgehub_cosine,knowledgehub_coverage,knowledgehub_gap,aurora_n,aurora_f1,aurora_cosine,aurora_coverage,aurora_gap
1,2222,0.676056338028169,1.0,15522,0.41958638162655837,1743,0.7142857142857143,0.9923211336135864,22503,0.41884629948659247,317,0.6944444444444444,0.9410842657089233,21507,0.48815254024836086,153,0.0,0.6448445320129395,2200,0.7244007289970329,9,0.49019607843137253,0.8397620916366577,25979,0.5273148984663517
2,1923,0.8478260869565217,1.0,77820,0.3452336281974713,1386,0.8541666666666666,0.9884926080703735,80147,0.3576775929147835,321,0.8571428571428571,0.9296269416809082,103094,0.37793961095906037,61,0.7959183673469388,0.8806328773498535,132453,0.40287785906675677,155,0.6486486486486487,0.8081408143043518,105987,0.4727698560469581
3,4237,0.6296296296296297,1.0,552491,0.4519205727452551,2187,0.5957446808510638,0.9640277028083801,526181,0.45531342270150055,364,0.6545454545454545,0.9177701473236084,493271,0.4404363480952689,70,0.75,0.749457061290741,456569,0.4492630207589666,1616,0.7368421052631579,0.8889635801315308,392926,0.451829640209364
4,3876,0.9176470588235294,1.0,406146,0.26337352882152865,2983,0.9302325581395349,0.9951149821281433,391074,0.26217526138358216,339,0.9411764705882353,0.931172251701355,444654,0.26930755715027876,41,0.8604651162790697,0.7369871139526367,427343,0.27448886270368356,513,0.8717948717948718,0.8278145790100098,461628,0.28167980097363143
5,4186,0.6666666666666666,1.0,58437,0.2379062822295991,3401,0.7012987012987013,0.9971651434898376,65241,0.23668561373756358,354,0.6301369863013698,0.9354013204574585,85089,0.3256946054303891,32,0.5625,0.7664956450462341,88802,0.43244198782606835,399,0.6176470588235294,0.8564541339874268,53535,0.2592587857824902
6,2519,0.8571428571428571,1.0,65633,0.43341587755985145,1879,0.8571428571428571,0.9942632913589478,69548,0.43465338002911325,304,0.8043478260869565,0.9244688749313354,55384,0.40959556447382806,122,0.8421052631578947,0.8632587194442749,72227,0.43883430280310154,214,0.5555555555555556,0.7720979452133179,103578,0.6074545135517275
7,3093,0.8846153846153846,1.0,200006,0.5215034898054959,2398,0.8846153846153846,0.9964554309844971,210184,0.5268952903789443,316,0.9259259259259259,0.9359829425811768,232562,0.5338021522811982,67,0.8727272727272727,0.8926042318344116,220812,0.5192409477731688,312,0.8461538461538461,0.8982563018798828,108807,0.46879079590257255
8,1526,0.5538461538461539,1.0,46367,0.25072694278129715,1104,0.53125,0.9893109202384949,43184,0.27998374096810275,325,0.53125,0.9376461505889893,84396,0.2815602618421479,18,0.416,0.8111511468887329,252817,0.43223507343156964,79,0.3829787234042553,0.82707279920578,92666,0.21369926224283853
9,2601,0.7272727272727273,1.0,363313,0.2584450711052524,2016,0.7213114754098361,0.9938180446624756,370108,0.2954862222407184,285,0.6538461538461539,0.8928098678588867,311334,0.325292223349378,18,0.6129032258064516,0.7809239625930786,163776,0.29068266220413186,282,0.13636363636363635,0.7645151615142822,358340,0.27343420928070683
10,1899,0.6551724137931034,1.0,15833,0.3498116910929432,1388,0.7142857142857143,0.9859474301338196,15726,0.4201954383123384,256,0.509090909090909,0.9009160995483398,33783,0.27714664084661456,51,0.13333333333333333,0.6546965837478638,108850,0.24664019056555997,204,0.08888888888888889,0.6924464702606201,82194,0.25861253885721447
11,2268,0.5490196078431373,1.0,196187,0.47858003021276585,1616,0.5614035087719298,0.9936861991882324,193015,0.47971022668046615,274,0.5909090909090909,0.9376986622810364,130653,0.40485713285102976,67,0.6071428571428571,0.8174861669540405,174964,0.4197579831960322,311,0.5306122448979592,0.9021779298782349,267170,0.5675579042125292
12,1342,0.725,1.0,96216,0.40831071071592684,718,0.7380952380952381,0.9889310002326965,107359,0.4278499324980516,287,0.6904761904761905,0.9622094035148621,55121,0.2396496071706894,75,0.7380952380952381,0.8921419382095337,111975,0.3588073932330835,262,0.4918032786885246,0.8746639490127563,76558,0.5740982607210163
13,2501,0.6933333333333334,1.0,50946,0.40632375968680323,1535,0.6428571428571429,0.9893621206283569,49427,0.42583372374377115,305,0.5970149253731343,0.936089813709259,80907,0.4397158589720822,346,0.5818181818181818,0.9232031106948853,46159,0.4604705513424796,315,0.46153846153846156,0.7945563793182373,95572,0.48774497005407924
14,1475,0.8108108108108109,1.0,87619,0.4397461316432312,960,0.8055555555555556,0.9853726029396057,90813,0.4620015920932786,256,0.7466666666666667,0.942764163017273,87574,0.4111630008559445,121,0.8,0.8713656663894653,118058,0.5045847909941779,138,0.7058823529411765,0.8047442436218262,89470,0.5045497869910704
15,2763,0.7532467532467533,1.0,100355,0.33423793329758755,1853,0.7792207792207793,0.9944252967834473,104911,0.33012623144562236,299,0.7435897435897436,0.9613872766494751,110702,0.3349580261631888,204,0.7710843373493976,0.8994150161743164,109969,0.3322682117871446,407,0.7105263157894737,0.8809511065483093,68330,0.31492820955189627
16,4132,0.8529411764705882,1.0,190317,0.28072601913448614,3367,0.8235294117647058,0.9956499338150024,204277,0.35685556551981656,310,0.7941176470588235,0.8516108989715576,197645,0.27366621662180357,159,0.6551724137931034,0.7043094038963318,49026,0.28491507276578876,296,0.7936507936507936,0.9459328055381775,125332,0.2825810230829289
17,1044,0.3018867924528302,1.0,20490,0.5180903538989332,0,,,0,,321,0.47368421052631576,0.9498794078826904,16022,0.16425279121404568,616,0.34615384615384615,0.9836860299110413,7698,0.27511610360598127,107,0.288,0.8241183757781982,35626,0.19791710322972
