family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,15522,2496,2187,312,312,50,0.580414,0.419586,0.683276,False
full_policy_corpus,2,77820,2396,2101,355,355,50,0.655199,0.344801,0.696797,False
full_policy_corpus,3,552491,4236,3473,378,378,50,0.548326,0.451674,0.628028,False
full_policy_corpus,4,406146,2939,2928,346,346,50,0.736631,0.263369,0.654826,False
full_policy_corpus,5,58437,3146,3106,467,467,50,0.762243,0.237757,0.678078,False
full_policy_corpus,6,65633,1861,1812,271,271,50,0.566711,0.433289,0.703817,False
full_policy_corpus,7,200006,2390,2262,366,366,50,0.478533,0.521467,0.701988,False
full_policy_corpus,8,46367,2614,2568,312,312,50,0.749154,0.250846,0.635611,False
full_policy_corpus,9,363313,5713,4034,433,433,50,0.742748,0.257252,0.606467,False
full_policy_corpus,10,15833,764,641,172,172,50,0.650509,0.349491,0.652275,False
full_policy_corpus,11,196187,3195,3099,305,305,50,0.521297,0.478703,0.622669,False
full_policy_corpus,12,96216,2291,2156,305,305,50,0.591941,0.408059,0.674055,False
full_policy_corpus,13,50946,4181,3825,1334,1334,50,0.593882,0.406118,0.719451,False
full_policy_corpus,14,87619,2250,1753,376,376,50,0.559829,0.440171,0.699336,False
full_policy_corpus,15,100355,2358,2116,343,343,50,0.666671,0.333329,0.674408,False
full_policy_corpus,16,190317,3459,3237,1095,1095,50,0.718798,0.281202,0.602353,False
full_policy_corpus,17,20490,7793,6112,1788,1788,50,0.481881,0.518119,0.685132,False
curated_ai_sdg,1,15522,716,407,27,27,50,0.553435,0.446565,0.675158,False
curated_ai_sdg,2,77820,571,276,32,32,50,0.615235,0.384765,0.712887,False
curated_ai_sdg,3,552491,1490,727,57,57,50,0.69049,0.30951,0.602712,False
curated_ai_sdg,4,406146,365,354,44,44,50,0.784841,0.215159,0.609037,False
curated_ai_sdg,5,58437,338,304,36,36,50,0.762829,0.237171,0.676173,False
curated_ai_sdg,6,65633,207,158,21,21,50,0.512022,0.487978,0.697173,False
curated_ai_sdg,7,200006,474,346,36,36,50,0.450121,0.549879,0.730815,False
curated_ai_sdg,8,46367,428,382,37,37,50,0.745344,0.254656,0.650182,False
curated_ai_sdg,9,363313,3876,2197,86,86,50,0.789679,0.210321,0.683417,False
curated_ai_sdg,10,15833,364,241,23,23,50,0.667043,0.332957,0.676379,False
curated_ai_sdg,11,196187,278,278,42,42,50,0.558646,0.441354,0.666016,False
curated_ai_sdg,12,96216,414,279,35,35,50,0.561776,0.438224,0.672693,False
curated_ai_sdg,13,50946,1001,645,43,43,50,0.637626,0.362374,0.69521,False
curated_ai_sdg,14,87619,763,266,32,32,50,0.594977,0.405023,0.681735,False
curated_ai_sdg,15,100355,555,313,30,30,50,0.643965,0.356035,0.701779,False
curated_ai_sdg,16,190317,1042,820,70,70,50,0.811899,0.188101,0.642528,False
curated_ai_sdg,17,20490,2757,1080,68,68,50,0.503911,0.496089,0.670525,False
sdgi_vnr_vlr,1,15522,1733,1733,239,239,50,0.575007,0.424993,0.700146,False
sdgi_vnr_vlr,2,77820,1722,1722,226,226,50,0.658083,0.341917,0.7013,False
sdgi_vnr_vlr,3,552491,2687,2687,265,265,50,0.497813,0.502187,0.654248,False
sdgi_vnr_vlr,4,406146,2519,2519,250,250,50,0.718238,0.281762,0.672718,False
sdgi_vnr_vlr,5,58437,2630,2624,262,262,50,0.757466,0.242534,0.682318,False
sdgi_vnr_vlr,6,65633,1628,1628,229,229,50,0.565404,0.434596,0.712677,False
sdgi_vnr_vlr,7,200006,1817,1817,238,238,50,0.482284,0.517716,0.705465,False
sdgi_vnr_vlr,8,46367,2164,2164,253,253,50,0.7386,0.2614,0.643332,False
sdgi_vnr_vlr,9,363313,1737,1737,255,255,50,0.5382,0.4618,0.631425,False
sdgi_vnr_vlr,10,15833,391,391,140,140,50,0.611414,0.388586,0.669114,False
sdgi_vnr_vlr,11,196187,2909,2813,255,255,50,0.510667,0.489333,0.626559,False
sdgi_vnr_vlr,12,96216,1858,1858,251,251,50,0.587869,0.412131,0.685099,False
sdgi_vnr_vlr,13,50946,1539,1539,237,237,50,0.611196,0.388804,0.714016,False
sdgi_vnr_vlr,14,87619,1297,1297,185,185,50,0.547271,0.452729,0.710366,False
sdgi_vnr_vlr,15,100355,1718,1718,236,236,50,0.663819,0.336181,0.678934,False
sdgi_vnr_vlr,16,190317,1360,1360,211,211,50,0.627534,0.372466,0.645154,False
sdgi_vnr_vlr,17,20490,2262,2258,248,248,50,0.452652,0.547348,0.673236,False
ungdc_speeches,1,15522,47,47,46,46,50,0.498713,0.501287,0.749239,False
ungdc_speeches,2,77820,103,103,97,97,50,0.547915,0.452085,0.769258,False
ungdc_speeches,3,552491,59,59,56,56,50,0.401152,0.598848,0.772632,False
ungdc_speeches,4,406146,55,55,52,52,50,0.612051,0.387949,0.773746,False
ungdc_speeches,5,58437,178,178,169,169,50,0.668033,0.331967,0.776863,False
ungdc_speeches,6,65633,26,26,21,21,50,0.483494,0.516506,0.821957,False
ungdc_speeches,7,200006,99,99,92,92,50,0.373969,0.626031,0.751895,False
ungdc_speeches,8,46367,22,22,22,22,50,0.608634,0.391366,0.704233,False
ungdc_speeches,9,363313,100,100,92,92,50,0.591554,0.408446,0.695736,False
ungdc_speeches,10,15833,9,9,9,9,50,0.498289,0.501711,0.733719,True
ungdc_speeches,11,196187,8,8,8,8,50,0.410762,0.589238,0.740002,True
ungdc_speeches,12,96216,19,19,19,19,50,0.460018,0.539982,0.744202,False
ungdc_speeches,13,50946,1641,1641,1054,1054,50,0.528885,0.471115,0.779768,False
ungdc_speeches,14,87619,190,190,159,159,50,0.476151,0.523849,0.820113,False
ungdc_speeches,15,100355,85,85,77,77,50,0.554845,0.445155,0.755611,False
ungdc_speeches,16,190317,1057,1057,814,814,50,0.555464,0.444536,0.720718,False
ungdc_speeches,17,20490,2774,2774,1472,1472,50,0.45914,0.54086,0.757608,False
