corpus,sdg,n_assigned,mean_cosine_to_assigned_centroid,median_cosine_to_assigned_centroid,std_cosine_to_assigned_centroid,mean_assignment_margin,median_assignment_margin,share_margin_gt_0_01,share_margin_gt_0_05,nearest_competing_sdg_centroid,mean_similarity_to_nearest_competing_centroid,separation_gap
research,1,15522,0.377458,0.39486,0.129609,0.021577,0.028659,0.582077,0.405811,11,0.355881,0.021577
research,2,77820,0.489164,0.50266,0.175387,0.09109,0.103403,0.799859,0.695194,15,0.398074,0.09109
research,3,552491,0.376145,0.360296,0.135643,0.078107,0.08553,0.754914,0.632012,17,0.298038,0.078107
research,4,406146,0.450381,0.48555,0.150603,0.103786,0.126945,0.731776,0.657699,16,0.346596,0.103786
research,5,58437,0.398009,0.428275,0.146305,0.035893,0.058112,0.624827,0.522375,16,0.362116,0.035893
research,6,65633,0.458796,0.484235,0.181009,0.042743,0.037938,0.611644,0.453857,13,0.416053,0.042743
research,7,200006,0.431082,0.43559,0.150218,0.084023,0.079091,0.740108,0.605367,12,0.347059,0.084023
research,8,46367,0.429045,0.452327,0.130686,0.058887,0.079775,0.676214,0.581103,10,0.370158,0.058887
research,9,363313,0.405309,0.413548,0.124559,0.007477,0.009653,0.498408,0.329663,8,0.397831,0.007477
research,10,15833,0.388288,0.393184,0.134162,0.053343,0.051128,0.66273,0.504011,1,0.334945,0.053343
research,11,196187,0.439602,0.45072,0.134842,0.039983,0.03883,0.614766,0.457135,9,0.399618,0.039983
research,12,96216,0.392673,0.391739,0.120527,0.032135,0.035931,0.594267,0.446059,7,0.360538,0.032135
research,13,50946,0.479933,0.507183,0.177354,0.07137,0.084294,0.71935,0.613866,6,0.408563,0.07137
research,14,87619,0.373361,0.364342,0.134372,0.024608,0.015283,0.519933,0.377795,17,0.348752,0.024608
research,15,100355,0.442585,0.451683,0.166571,0.039526,0.028661,0.570844,0.423078,2,0.403059,0.039526
research,16,190317,0.400677,0.405543,0.128426,0.032078,0.037198,0.61882,0.439083,5,0.368599,0.032078
research,17,20490,0.306045,0.311411,0.103851,0.015926,0.027131,0.55876,0.41713,3,0.290119,0.015926
policy,1,2496,0.656059,0.692565,0.137274,0.045015,0.04071,0.729167,0.43109,10,0.611044,0.045015
policy,2,2396,0.699942,0.71665,0.090701,0.111299,0.107639,0.943239,0.808013,1,0.588642,0.111299
policy,3,4236,0.598436,0.631949,0.135627,0.094184,0.103422,0.797923,0.663598,1,0.504251,0.094184
policy,4,2939,0.653592,0.678867,0.10924,0.125259,0.137308,0.904389,0.805716,8,0.528333,0.125259
policy,5,3146,0.677755,0.68642,0.09149,0.100553,0.104118,0.877622,0.71424,16,0.577201,0.100554
policy,6,1861,0.696981,0.722772,0.119923,0.137559,0.150061,0.936593,0.843095,12,0.559422,0.137559
policy,7,2390,0.702383,0.714862,0.078366,0.132901,0.133855,0.969874,0.858159,12,0.569482,0.132901
policy,8,2614,0.634536,0.645381,0.089958,0.054023,0.053951,0.776588,0.529457,10,0.580513,0.054023
policy,9,5713,0.598608,0.619512,0.136477,0.114996,0.125624,0.748293,0.639244,16,0.483612,0.114996
policy,10,764,0.667237,0.688689,0.126159,0.05527,0.062582,0.887435,0.602094,1,0.611967,0.05527
policy,11,3195,0.621874,0.632192,0.100332,0.083258,0.077615,0.878873,0.670736,12,0.538616,0.083258
policy,12,2291,0.666914,0.684356,0.100357,0.089547,0.084913,0.865561,0.670886,7,0.577367,0.089547
policy,13,4181,0.715829,0.729166,0.088182,0.087879,0.085347,0.906482,0.707008,17,0.627951,0.087879
policy,14,2250,0.691472,0.733168,0.149382,0.131972,0.141492,0.959111,0.869778,15,0.5595,0.131972
policy,15,2358,0.668741,0.691182,0.117398,0.117829,0.115571,0.915606,0.731552,14,0.550912,0.117829
policy,16,3459,0.596743,0.613761,0.110318,0.034696,0.03531,0.663776,0.424689,17,0.562047,0.034696
policy,17,7793,0.673682,0.702286,0.127064,0.050908,0.05711,0.764917,0.540357,16,0.622774,0.050908
