variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.03,research,1,40340.945368,0.015859,0.006102,0.009757
raw_softmax,0.03,policy,1,42.185346,0.017176,0.013844,0.003332
raw_softmax,0.03,research,2,91987.127591,0.036163,0.030593,0.00557
raw_softmax,0.03,policy,2,49.859771,0.020301,0.006515,0.013786
raw_softmax,0.03,research,3,438782.843285,0.172498,0.2172,-0.044702
raw_softmax,0.03,policy,3,48.888457,0.019906,0.003257,0.016649
raw_softmax,0.03,research,4,384585.037906,0.151191,0.159668,-0.008477
raw_softmax,0.03,policy,4,40.044791,0.016305,0.000814,0.015491
raw_softmax,0.03,research,5,81651.821386,0.0321,0.022973,0.009127
raw_softmax,0.03,policy,5,79.132197,0.03222,0.007329,0.024891
raw_softmax,0.03,research,6,85891.971107,0.033767,0.025802,0.007965
raw_softmax,0.03,policy,6,28.298061,0.011522,0.002036,0.009486
raw_softmax,0.03,research,7,186507.163671,0.073321,0.078628,-0.005307
raw_softmax,0.03,policy,7,48.899706,0.01991,0.004479,0.015431
raw_softmax,0.03,research,8,75306.663607,0.029605,0.018228,0.011377
raw_softmax,0.03,policy,8,33.203294,0.013519,0.011401,0.002118
raw_softmax,0.03,research,9,297803.655884,0.117075,0.142829,-0.025754
raw_softmax,0.03,policy,9,91.978263,0.03745,0.03013,0.00732
raw_softmax,0.03,research,10,40430.837696,0.015895,0.006224,0.009671
raw_softmax,0.03,policy,10,16.168827,0.006583,0.000814,0.005769
raw_softmax,0.03,research,11,189289.352731,0.074415,0.077127,-0.002712
raw_softmax,0.03,policy,11,39.946321,0.016265,0.035423,-0.019158
raw_softmax,0.03,research,12,117400.343044,0.046153,0.037825,0.008328
raw_softmax,0.03,policy,12,30.520903,0.012427,0.004479,0.007948
raw_softmax,0.03,research,13,77234.709226,0.030363,0.020028,0.010335
raw_softmax,0.03,policy,13,477.338579,0.194356,0.155537,0.038819
raw_softmax,0.03,research,14,99098.748942,0.038959,0.034446,0.004513
raw_softmax,0.03,policy,14,51.398361,0.020928,0.002036,0.018892
raw_softmax,0.03,research,15,111670.056901,0.043901,0.039452,0.004449
raw_softmax,0.03,policy,15,43.204103,0.017591,0.002443,0.015148
raw_softmax,0.03,research,16,175554.737739,0.069016,0.074819,-0.005803
raw_softmax,0.03,policy,16,441.639496,0.179821,0.125814,0.054007
raw_softmax,0.03,research,17,50087.010113,0.019691,0.008055,0.011636
raw_softmax,0.03,policy,17,893.29266,0.363719,0.593648,-0.229929
raw_softmax,0.05,research,1,65579.43471,0.025781,0.006102,0.019679
raw_softmax,0.05,policy,1,62.301295,0.025367,0.013844,0.011523
raw_softmax,0.05,research,2,102709.578135,0.040378,0.030593,0.009785
raw_softmax,0.05,policy,2,59.051102,0.024044,0.006515,0.017529
raw_softmax,0.05,research,3,335670.109489,0.131961,0.2172,-0.085239
raw_softmax,0.05,policy,3,50.40755,0.020524,0.003257,0.017267
raw_softmax,0.05,research,4,355278.138039,0.13967,0.159668,-0.019998
raw_softmax,0.05,policy,4,41.977304,0.017092,0.000814,0.016278
raw_softmax,0.05,research,5,101406.108313,0.039866,0.022973,0.016893
raw_softmax,0.05,policy,5,85.356832,0.034754,0.007329,0.027425
raw_softmax,0.05,research,6,104015.196283,0.040891,0.025802,0.015089
raw_softmax,0.05,policy,6,42.057351,0.017124,0.002036,0.015088
raw_softmax,0.05,research,7,173859.497464,0.068349,0.078628,-0.010279
raw_softmax,0.05,policy,7,56.83566,0.023142,0.004479,0.018663
