variant,temperature,sdg,research_weighted_mass,policy_weighted_mass,semantic_gap_cosine_distance_384d,hard_semantic_gap_if_available,difference_from_hard_if_available
raw_softmax,0.03,1,40340.945368,960.799072,0.586592,0.419586,0.167006
raw_softmax,0.03,2,91987.127591,856.894775,0.390702,0.345234,0.045468
raw_softmax,0.03,3,438782.843285,1579.192505,0.396089,0.451921,-0.055832
raw_softmax,0.03,4,384585.037906,1216.028687,0.262759,0.263373,-0.000614
raw_softmax,0.03,5,81651.821386,1482.354736,0.307955,0.237906,0.070049
raw_softmax,0.03,6,85891.971107,790.294983,0.492912,0.433416,0.059496
raw_softmax,0.03,7,186507.163671,969.901855,0.512436,0.521503,-0.009067
raw_softmax,0.03,8,75306.663607,1046.830444,0.373825,0.250727,0.123098
raw_softmax,0.03,9,297803.655884,2279.533203,0.213923,0.258445,-0.044522
raw_softmax,0.03,10,40430.837696,357.203766,0.536471,0.349812,0.186659
raw_softmax,0.03,11,189289.352731,1400.617188,0.462015,0.47858,-0.016565
raw_softmax,0.03,12,117400.343044,928.11377,0.4532,0.408311,0.044889
raw_softmax,0.03,13,77234.709226,2569.435059,0.49894,0.406324,0.092616
raw_softmax,0.03,14,99098.748942,777.868164,0.493132,0.439746,0.053386
raw_softmax,0.03,15,111670.056901,889.621216,0.363529,0.334238,0.029291
raw_softmax,0.03,16,175554.737739,1907.504028,0.317324,0.280726,0.036598
raw_softmax,0.03,17,50087.010113,4175.089355,0.664126,0.51809,0.146036
raw_softmax,0.05,1,65579.43471,1065.598389,0.603161,0.419586,0.183575
raw_softmax,0.05,2,102709.578135,897.847046,0.449733,0.345234,0.104499
raw_softmax,0.05,3,335670.109489,1505.896973,0.372955,0.451921,-0.078966
raw_softmax,0.05,4,355278.138039,1184.621338,0.261064,0.263373,-0.002309
raw_softmax,0.05,5,101406.108313,1475.477051,0.360977,0.237906,0.123071
raw_softmax,0.05,6,104015.196283,870.582336,0.533118,0.433416,0.099702
raw_softmax,0.05,7,173859.497464,1001.122864,0.514559,0.521503,-0.006944
raw_softmax,0.05,8,98128.153273,1143.861206,0.417743,0.250727,0.167016
raw_softmax,0.05,9,255252.69886,2067.018066,0.232082,0.258445,-0.026363
raw_softmax,0.05,10,64602.070131,575.082886,0.550468,0.349812,0.200656
raw_softmax,0.05,11,180915.521686,1409.019653,0.45252,0.47858,-0.02606
raw_softmax,0.05,12,131463.562324,1054.404785,0.479735,0.408311,0.071424
raw_softmax,0.05,13,99118.092011,2503.870361,0.548986,0.406324,0.142662
raw_softmax,0.05,14,109127.553387,798.535767,0.528209,0.439746,0.088463
raw_softmax,0.05,15,122207.253222,930.780579,0.404302,0.334238,0.070064
raw_softmax,0.05,16,166151.263569,1815.890625,0.332177,0.280726,0.051451
raw_softmax,0.05,17,78211.464014,3875.374756,0.656328,0.51809,0.138238
raw_softmax,0.1,1,107363.510654,1327.742065,0.558925,0.419586,0.139339
raw_softmax,0.1,2,121678.664987,1092.556641,0.534616,0.345234,0.189382
raw_softmax,0.1,3,215719.095615,1282.502441,0.407366,0.451921,-0.044555
raw_softmax,0.1,4,257388.153885,1120.792969,0.305027,0.263373,0.041654
raw_softmax,0.1,5,128624.636545,1409.852295,0.434403,0.237906,0.196497
raw_softmax,0.1,6,129149.383451,1123.064453,0.557916,0.433416,0.1245
raw_softmax,0.1,7,154477.784622,1110.01416,0.548824,0.521503,0.027321
raw_softmax,0.1,8,131610.090738,1375.53833,0.451216,0.250727,0.200489
raw_softmax,0.1,9,207516.94317,1775.647949,0.341554,0.258445,0.083109
raw_softmax,0.1,10,105970.866872,1028.852173,0.51517,0.349812,0.165358
raw_softmax,0.1,11,171493.071703,1480.449463,0.471123,0.47858,-0.007457
raw_softmax,0.1,12,147955.098722,1309.128906,0.50997,0.408311,0.101659
raw_softmax,0.1,13,129152.011095,2173.022461,0.576647,0.406324,0.170323
raw_softmax,0.1,14,125053.005562,933.683594,0.568944,0.439746,0.129198
raw_softmax,0.1,15,135099.913755,1078.666504,0.489558,0.334238,0.15532
raw_softmax,0.1,16,154623.046669,1540.788452,0.397776,0.280726,0.11705
raw_softmax,0.1,17,120822.306906,2984.213867,0.594801,0.51809,0.076711
raw_softmax,0.2,1,132346.499979,1443.568115,0.532197,0.419586,0.112611
raw_softmax,0.2,2,136880.90453,1290.360596,0.538587,0.345234,0.193353
raw_softmax,0.2,3,169845.045414,1233.891357,0.481966,0.451921,0.030045
