comparison_type,left,right,cosine_similarity
global_vs_average,sdg_balanced_global,within_sdg_average,0.901266
global_vs_within_sdg,sdg_balanced_global,sdg_1,0.807164
global_vs_within_sdg,sdg_balanced_global,sdg_2,0.785457
global_vs_within_sdg,sdg_balanced_global,sdg_3,0.781737
global_vs_within_sdg,sdg_balanced_global,sdg_4,0.76907
global_vs_within_sdg,sdg_balanced_global,sdg_5,0.788348
global_vs_within_sdg,sdg_balanced_global,sdg_6,0.735222
global_vs_within_sdg,sdg_balanced_global,sdg_7,0.711728
global_vs_within_sdg,sdg_balanced_global,sdg_8,0.782797
global_vs_within_sdg,sdg_balanced_global,sdg_9,0.813378
global_vs_within_sdg,sdg_balanced_global,sdg_10,0.723679
global_vs_within_sdg,sdg_balanced_global,sdg_11,0.801276
global_vs_within_sdg,sdg_balanced_global,sdg_12,0.769483
global_vs_within_sdg,sdg_balanced_global,sdg_13,0.795955
global_vs_within_sdg,sdg_balanced_global,sdg_14,0.727387
global_vs_within_sdg,sdg_balanced_global,sdg_15,0.762287
global_vs_within_sdg,sdg_balanced_global,sdg_16,0.777321
global_vs_within_sdg,sdg_balanced_global,sdg_17,0.788951
pairwise_within_sdg,sdg_1,sdg_2,0.832228
pairwise_within_sdg,sdg_1,sdg_3,0.742569
pairwise_within_sdg,sdg_1,sdg_4,0.749661
pairwise_within_sdg,sdg_1,sdg_5,0.79793
pairwise_within_sdg,sdg_1,sdg_6,0.779686
pairwise_within_sdg,sdg_1,sdg_7,0.720045
pairwise_within_sdg,sdg_1,sdg_8,0.797319
pairwise_within_sdg,sdg_1,sdg_9,0.707764
pairwise_within_sdg,sdg_1,sdg_10,0.80113
pairwise_within_sdg,sdg_1,sdg_11,0.790134
pairwise_within_sdg,sdg_1,sdg_12,0.752026
pairwise_within_sdg,sdg_1,sdg_13,0.746988
pairwise_within_sdg,sdg_1,sdg_14,0.749359
pairwise_within_sdg,sdg_1,sdg_15,0.771648
pairwise_within_sdg,sdg_1,sdg_16,0.69529
pairwise_within_sdg,sdg_1,sdg_17,0.735036
pairwise_within_sdg,sdg_2,sdg_3,0.741734
pairwise_within_sdg,sdg_2,sdg_4,0.743393
pairwise_within_sdg,sdg_2,sdg_5,0.743889
pairwise_within_sdg,sdg_2,sdg_6,0.842107
pairwise_within_sdg,sdg_2,sdg_7,0.798142
