sdg,classifier_cosine_similarity,regression_cosine_similarity,regression_abs_cosine_similarity,regression_within_sdg_cosine_similarity,regression_within_sdg_abs_cosine_similarity
1,0.357572,0.766112,0.766112,0.766112,0.766112
2,0.364177,0.632283,0.632283,0.669875,0.669875
3,0.38329,0.592193,0.592193,0.736207,0.736207
4,0.330628,0.503172,0.503172,0.620969,0.620969
5,0.347828,0.622673,0.622673,0.745442,0.745442
6,0.379315,0.528511,0.528511,0.677322,0.677322
7,0.377886,0.458188,0.458188,0.749797,0.749797
8,0.404276,0.688099,0.688099,0.690084,0.690084
9,0.393995,0.568416,0.568416,0.723622,0.723622
10,0.352994,0.719348,0.719348,0.713412,0.713412
11,0.397134,0.564531,0.564531,0.673315,0.673315
12,0.362889,0.493401,0.493401,0.760713,0.760713
13,0.375223,0.543939,0.543939,0.698239,0.698239
14,0.370908,0.428207,0.428207,0.799104,0.799104
15,0.374409,0.447034,0.447034,0.690903,0.690903
16,0.236528,0.466113,0.466113,0.616553,0.616553
17,0.417156,0.672574,0.672574,0.837935,0.837935
