sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,sdg_balanced_adjusted_similarity,sdg_balanced_adjusted_gap,sdg_balanced_adjusted_gap_research_cohesion,sdg_balanced_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,15522,2496,2187,312,312,50,0.580414,0.419586,0.377458,0.683276,0.61845,0.38155,0.377571,0.642911,0.038036,True,,False,
2,77820,2396,2101,355,355,50,0.654766,0.345234,0.489164,0.697401,0.699511,0.300489,0.489626,0.664491,0.044745,True,,False,
3,552491,4236,3473,378,378,50,0.548079,0.451921,0.376145,0.627803,0.570536,0.429464,0.375059,0.581801,0.022457,True,,False,
4,406146,2939,2928,346,346,50,0.736627,0.263373,0.450381,0.654917,0.782574,0.217426,0.450142,0.618452,0.045947,True,,False,
5,58437,3146,3106,467,467,50,0.762094,0.237906,0.398009,0.678333,0.802755,0.197245,0.397267,0.641488,0.040661,True,,False,
6,65633,1861,1812,271,271,50,0.566584,0.433416,0.458796,0.704094,0.627625,0.372375,0.459555,0.66777,0.061041,True,,False,
7,200006,2390,2262,366,366,50,0.478497,0.521503,0.431082,0.701839,0.533732,0.466268,0.431705,0.665145,0.055235,True,,False,
8,46367,2614,2568,312,312,50,0.749273,0.250727,0.429045,0.635087,0.795385,0.204615,0.428032,0.589508,0.046112,True,,False,
9,363313,5713,4034,433,433,50,0.741555,0.258445,0.405309,0.606415,0.791447,0.208553,0.405034,0.56512,0.049892,True,,False,
10,15833,764,641,172,172,50,0.650188,0.349812,0.388288,0.650746,0.683144,0.316856,0.387491,0.609814,0.032956,True,,False,
11,196187,3195,3099,305,305,50,0.52142,0.47858,0.439602,0.622302,0.560242,0.439758,0.439507,0.57523,0.038822,True,,False,
12,96216,2291,2156,305,305,50,0.591689,0.408311,0.392673,0.674329,0.649773,0.350227,0.393566,0.636877,0.058084,True,,False,
13,50946,4181,3825,1334,1334,50,0.593676,0.406324,0.479933,0.719612,0.635731,0.364269,0.480624,0.687418,0.042055,True,,False,
14,87619,2250,1753,376,376,50,0.560254,0.439746,0.373361,0.697821,0.597473,0.402527,0.373477,0.663387,0.037219,True,,False,
15,100355,2358,2116,343,343,50,0.665762,0.334238,0.442585,0.675989,0.71625,0.28375,0.442894,0.63998,0.050488,True,,False,
16,190317,3459,3237,1095,1095,50,0.719274,0.280726,0.400677,0.602547,0.753742,0.246258,0.399818,0.562091,0.034468,True,,False,
17,20490,7793,6112,1788,1788,50,0.48191,0.51809,0.306045,0.685606,0.49068,0.50932,0.305172,0.644195,0.00877,True,,False,
