sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.6102,1.3844,0.007742,-0.007742,0.419586,0.580414,1
2,3.0593,0.6515,0.024079,0.024078,0.345234,0.654766,1
3,21.72,0.3257,0.213943,0.213943,0.451921,0.548079,1
4,15.9668,0.0814,0.158853,0.158854,0.263373,0.736627,1
5,2.2973,0.7329,0.015644,0.015644,0.237906,0.762094,1
6,2.5802,0.2036,0.023766,0.023766,0.433416,0.566584,1
7,7.8628,0.4479,0.074149,0.074149,0.521503,0.478497,1
8,1.8228,1.1401,0.006828,0.006827,0.250727,0.749273,1
9,14.2829,3.013,0.112698,0.112699,0.258445,0.741555,1
10,0.6224,0.0814,0.00541,0.00541,0.349812,0.650188,1
11,7.7127,3.5423,0.041703,0.041704,0.47858,0.52142,1
12,3.7825,0.4479,0.033346,0.033346,0.408311,0.591689,1
13,2.0028,15.5537,0.135509,-0.135509,0.406324,0.593676,1
14,3.4446,0.2036,0.03241,0.03241,0.439746,0.560254,1
15,3.9452,0.2443,0.037009,0.037009,0.334238,0.665762,1
16,7.4819,12.5814,0.050995,-0.050995,0.280726,0.719274,1
17,0.8055,59.3648,0.585593,-0.585593,0.51809,0.48191,1
