sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,register_adjusted_similarity,register_adjusted_gap,register_adjusted_research_cohesion,register_adjusted_policy_cohesion,delta_gap,unreliable,unreliable_reason
1,11804,2970,2214,351,351,50,0.747385,0.252615,0.330808,0.628618,0.76875,0.23125,0.330589,0.606768,-0.021365,False,
2,83441,2119,2020,347,347,50,0.675995,0.324005,0.41624,0.634466,0.700048,0.299952,0.416492,0.617057,-0.024053,False,
3,470627,3893,3506,391,391,50,0.576517,0.423483,0.366936,0.567277,0.608701,0.391299,0.367236,0.545107,-0.032184,False,
4,355720,3009,2994,366,366,50,0.713001,0.286999,0.451995,0.608575,0.745999,0.254001,0.452362,0.590405,-0.032998,False,
5,53741,3107,3066,499,499,50,0.751195,0.248805,0.381674,0.626336,0.771706,0.228294,0.381152,0.605187,-0.020511,False,
6,90715,1992,1941,302,302,50,0.509499,0.490501,0.413092,0.667035,0.537162,0.462838,0.413432,0.650717,-0.027663,False,
7,198743,2563,2343,367,367,50,0.502829,0.497171,0.420829,0.647785,0.538423,0.461577,0.421016,0.630362,-0.035594,False,
8,41898,2623,2415,312,312,50,0.731023,0.268977,0.403975,0.579455,0.759236,0.240764,0.403626,0.552699,-0.028213,False,
9,247370,4601,3626,408,408,50,0.765948,0.234052,0.383904,0.562703,0.793409,0.206591,0.383966,0.542612,-0.027461,False,
10,20323,852,732,208,208,50,0.567827,0.432173,0.316986,0.571582,0.588783,0.411217,0.316982,0.547715,-0.020956,False,
11,136616,2797,2735,297,297,50,0.553239,0.446761,0.412236,0.566982,0.582007,0.417993,0.412511,0.543743,-0.028768,False,
12,90960,2283,1951,286,286,50,0.575891,0.424109,0.363293,0.624065,0.608606,0.391394,0.36369,0.605032,-0.032715,False,
13,110645,4972,4530,1503,1503,50,0.471707,0.528293,0.405312,0.657534,0.495091,0.504909,0.405716,0.639882,-0.023384,False,
14,99162,2058,1675,343,343,50,0.514781,0.485219,0.350895,0.655227,0.537768,0.462232,0.351233,0.638817,-0.022987,False,
15,175447,2395,2156,353,353,50,0.535342,0.464658,0.414844,0.631502,0.559051,0.440949,0.415135,0.613499,-0.023709,False,
16,189046,3769,3408,1183,1183,50,0.6772,0.3228,0.362668,0.542971,0.703102,0.296898,0.362742,0.520998,-0.025902,False,
17,167440,8079,6651,1709,1709,50,0.328522,0.671478,0.344684,0.593334,0.345306,0.654694,0.34492,0.568855,-0.016784,False,
